1,accuracy,n. 准确(性)， 精确度
2,addition,n. 增加，附加物，加，加法
3,adjacent,adj. 毗连的，邻近的，接近的
4,algebra,n. 代数学
5,altitude,n. 高度，海拔，高地
6,angle,n. 角(度)，角落 vt. 斜移，转变角度 vi. 钓鱼，谋取，转变角度 n. (Angle)盎格鲁人
7,approximate,adj. 大约的，近似的 vt. &amp;vi. 接近，约等于
8,arc,n. 弧，弧形物 vi. 形成电弧，按弧形轨迹行进
9,arithmetic,n. 算术
10,ascending,adj. 上升的  动词ascend的现在分词
11,assumption,n. 假定，设想，担任(职责等)，假装
12,calculate,vt. 计算，估计，考虑，推测 vi. 计算，预测，依赖
13,calculation,n. 计算
14,calculus,n. 微积分
15,circumference,n. 圆周， 周围， 胸围
16,classification,n. 分类，分级
17,combination,n. 结合，联合，联合体
18,complementary,adj. 补充的， 互补的
19,congruent,adj.合适的，一致的，全等的
20,constant,adj. 经常的， 不变的 n. 常数， 恒量
21,coordinate,n. 同等的人物; (色调， 图案， 样式等)配套服装  adj. 同等的， 等位的; (大学)男女分院制的  v. 协调， 整合; 使一致  [计算机] 坐标
22,cylinder,n. 汽缸， 圆筒， 圆柱体
23,decimal,adj. 十进位的，小数的 n. 小数
24,deduction,n. 减除(额)， 推论
25,denominator,n. 分母，平均水平
26,derivative,adj. 引出的，系出的 n. 引出之物，系出物，衍生字 n. 导数， 微商
27,deviation,n. 偏差数， 偏离，出轨，背盟
28,diameter,n. 直径
29,dimension,n. 尺寸， 次元， 容积， 维度 n. 范围; 方面 vt. 标尺寸; 形成...尺寸
30,divide,vt.&amp; vi.分； 划分； 分离； （使）产生分歧 n.分水岭，分界线； 分配
31,ellipse,n. 椭圆(形)
32,enumerate,v. 列举，计算，枚举 [计算机] 枚举
33,equation,n. 相等，方程(式)，等式，均衡
34,error,n. 错误， 过失
35,evaluate,vt. 评估，评价
36,even,adj. 平坦的， 偶数的， 相等的 adv. 甚至， 恰好， 正当 v. 使平坦， 相等
37,exponent,n. 拥护者，说明者，楷模 n. 指数 adj. 说明的
38,formula,n.   公式，配方，规则；代乳品 adj. （赛车的）级的，方程式的
39,fraction,n. 分数， 小部分， 破片
40,function,n. 功能， 函数， 重大聚会 vi. 运行， 起作用
41,geometry,n. 几何，几何学
42,hemisphere,n. 半球
43,horizontal,adj. 水平的，横的 n. 水平线，水平面
44,hyperbola,n. [数]双曲线
45,increment,n. 增加(增加物， 增量， 余差)
46,infinity,n. (时间，空间等)无限，无穷，[数]无穷大
47,intersect,v. 贯穿， (和...)相交， 交叉
48,invariance,n. 不变性，恒常性
49,logarithm,n. [数]对数
50,maximize,v. 取...最大值，最佳化 [计算机] 最大化
51,multiply,vt. 乘，增加 vi. 扩大，繁衍，做乘法 adv. 多样地，多重地
52,negative,adj. 否定的，负的，消极的 n. 底片，负数，否定 vt. 否定
53,numerator,n. 分子，计算者，计算的东西 [计算机] 分子
54,odd,adj. 奇数的，古怪的，剩余的 . 奇数
55,pentagon,n. 五边形 Pentagon:五角大楼（美国国防部）
56,percentage,n. 百分率，比例，可能性
57,perimeter,n. 周长， 周界， 边缘
58,permutation,n. 交换， 排列
59,power,n. 力量， 权力，电力 vt. 供电，激励，全速前进 adj. 与力量有关的，与权力有关的，电力控制的
60,probability,n. 可能性， 或然率， 机率
61,progression,n. 前进
62,proportion,n. 比例，均衡，部份 vt. 使成比例，使均衡，分摊
63,quadrant,象限
64,quotient,n. 商
65,radius,n. 半径，桡骨，半径范围，辐射区
66,sequence,n. 序列， 一系列， 顺序， 一组镜头 vt. 安排顺序
67,slope,n. 倾斜，斜坡，斜面，斜线 vt. 使倾斜 vi. 倾斜，有坡度
68,square,n. 正方形，街区，平方，广场 adj. 正方形的，正直的，公正的，结实的 vt. 使...成方形，调整，一致 vi. 符合 adv. 成直角，直接的，正方形地
69,statistics,n. 统计；统计学；[统计] 统计资料
70,subtract,vt. 扣掉 vi. 减少
71,summation,n. 总和， 和， 合计
72,symmetry,n. 对称(性)， 匀称， 整齐
73,vertical,adj. 垂直的，顶点的，纵向的 n. 垂直物， 垂直的位置
