1,agriculture,n. 农业
2,agronomist,n. 农学家
3,aquaculture,n. 水产业， 水产养殖
4,arable,adj. 可耕的， 适合种植的
5,barley,n. 大麦
6,barren,adj. 不育的， 贫瘠的
7,buffalo,n.水牛（分非洲水牛和亚洲水牛两种）； （南非或北美的）野牛
8,cereal,adj. 谷类(的)，谷物(的) n. 谷类食物
9,combine,n. 集团，联合收割机 v. 化合，结合，联合 vi. 结合，联合 vt. 使结合，使联合
10,conservatory,adj. 保存性的，有保存力的 n. 温室，音乐学院
11,cowshed,n. 牛棚
12,cultivate,vt. 培养，耕作，栽培，结交(朋友)， 促进增长， 教养
13,dairy,adj. 牛奶的  n. 牛奶场， 乳品店， 乳制品
14,eggplant,n. 茄子， 黑紫色
15,fallow,n. 休耕地，休耕 adj. 休耕的，不活跃的 vt. 使休耕
16,fertile,adj. 肥沃的，能繁殖的  n. 多产，肥沃
17,fertilizer,n. 肥料
18,foodstuff,n. 食品， 食料
19,furrow,n. 犁沟， 皱纹 v. 犁，耕，（使）起皱纹
20,graft,n. 接枝， 贪污 v. 接枝， 使结合
21,granary,n. 谷仓， 谷物仓， 谷产丰富的地区
22,graze,v. 放牧，（牛、羊等）吃草， v. 轻擦，蹭 n. 放牧 n. 擦伤
23,greenhouse,n. 温室， 暖房
24,hacienda,n. 庄园
25,haystack,n. 大干草堆 =hayrick
26,herbicide,n. 除草剂
27,horticulture,n. 园艺学
28,husbandry,n. 农事， 耕作，农牧业，节约（资源） n.
29,hydroponics,n.水耕法，水栽培
30,indigenous,adj. 该土地所固有的，土著的，国产的
31,insecticide,n. 杀虫剂
32,irrigate,vi. 进行灌溉 vt. 灌溉
33,landlord,n. 地主， 房东
34,latifundium,n. 大农场主
35,livestock,n. 家畜， 牲畜
36,loosen,vt. 放松， 松开， 解除（便秘等），放宽 vi. 变松，松弛
37,manure,n. 肥料 vt. 施肥
38,mechanization,n.机械化，机动化
39,nursery,n. 苗圃
40,orchard,n. 果园
41,parasite,n. 寄生虫，寄生生物，食客
42,pasture,n. 牧场 v. 吃(草) vt. 放牧
43,pesticide,n. 杀虫剂
44,pigpen,n. 猪舍，猪舍似的地方
45,pigsty,n. 猪圈，肮脏地方
46,plantation,n. 种植园，大农场，殖民地
47,plough,n. 犁， 耕地 v. 用犁耕田， 耕犁
48,poultry,n. 家禽
49,prairie,n. 大草原
50,prolific,adj. 多产的， 作品丰富的
51,prune,n. 李子干 vt. 修剪，砍掉，削减 vi. 删除
52,ranch,n. 牧场
53,reclamation,n. 开垦， 收复
54,ridge,n. 脊， 山脊， 山脉
55,seedbed,n. 苗床，发源地
56,sheepfold,n. 羊圈
57,shepherd,n. 牧羊者， 牧师， 指导者 v. 看守， 领导， 指导
58,sickle,n. 镰刀
59,sorghum,n. 高梁
60,spray,n. 水沫，喷雾器 vt. &amp;vi. 喷雾，扫射，喷射
61,straw,n. 稻草， 麦杆， 吸管 adj. 用稻草做的， 用来作稻草的， 麦杆色的， 无价值的， 象稻草人的， 非正式民意测验所发现的
62,stubble,n. 短须， 麦茬
63,tenant,n. 房客，佃户 vt. 居住
64,tenure,n.占有（职位，不动产等）； 占有期； 终身职位
65,terrace,n. 平台，阳台，梯田 v. 使成阶地，使成梯田 vt. 使成梯田
66,trough,n. 木钵， 水槽， 马槽， (波浪间的) 波谷
67,vinegrower,n.葡萄栽植者
68,vineyard,n. 葡萄园， 酿酒庄园
69,wasteland,n. 荒地， 未开垦地
70,windmill,n. 风车 v. (使）像风车一样旋转
