1,aboriginal,adj. 原始的， 土著的
2,ancestor,n. 祖宗，祖先，原种
3,antecedent,n. 前情， 先行词 adj. 在...之前的， 居先的
4,anthropoid,adj. 像人类的， 类人猿的 n. 类人猿
5,anthropology,n. 人类学
6,clan,n. 氏族， 宗族， 党派
7,descent,n. 下落，家世，倾斜，侵袭
8,ethnic,adj. 民族的，种族的，有民族特色的 n. 少数民族的一员
9,ethnology,n. 人种学，社会人类学
10,exotic,adj. 异国的，外来的，奇异的，脱衣舞的 n. (复数)异国风格的事物，脱衣舞者
11,forerunner,n. 先驱，祖先，预兆，[体育]赛前试滑滑道的人
12,hominid,n. 原始人类 adj. 灵长类的
13,hybrid,n. 混血儿，杂种，混合物 adj. 混合的，杂种的，混合语的
14,inexplicable,adj. 无法说明的， 无法解释的， 费解的
15,minority,n. 少数， 少数民族， 未成年
16,pathological,adj. 病理学的
17,perception,n. 感知， 认识， 观念
18,precursor,n. 先驱者，前导，先进者
19,predecessor,n. 前辈， 前任， 原有事物
20,racial,adj. 种族的，人种的
21,ritual,n. 仪式，典礼，宗教仪式，固定程序 adj. 仪式的，依仪式而行的，老规矩的，惯常的
22,stereotype,n. 铅版，陈腔滥调，老一套 vt. 使用铅版，套用老套
23,stratification,n. 成层，成层法
24,taboo,n. 禁忌，禁止接近，禁止使用 adj. 禁忌的 vt. 禁忌，禁制，禁止
25,tribe,n. 部落，种族，一伙人
