1,accelerator,n.  加速器， 油门，[化学]加速剂，促进剂
2,acoustic,adj. 美声的，听觉的，音感教育，音响学的
3,amplifier,n. 放大器， 扩音机
4,atom,n. 原子
5,battery,n. 电池，一系列，排炮
6,beam,n. 光线，电波，横梁，容光焕发 vt. 闪亮，为...上梁 vi. 微笑，发光
7,centigrade,adj. 分为百度的，摄氏的
8,chafe,n. 擦伤， 气恼 v. 摩擦， 擦痛， 激怒
9,chaos,n. 混乱
10,charge,n. 电荷， 指控， 费用; 照顾， 责任 vt. &amp;vi 控诉， 加罪于， 要价， 赊帐， 充电， 管理
11,chip,n. 薄片，碎屑，芯片 vt. 削，切，削成碎片 vi. 折断成碎片
12,clutter,vt. 弄乱，混乱 n. 杂乱
13,cohesion,n. 凝聚力， 团结
14,compatible,adj. 能共处的，可并立的，适合的， 兼容的 n. 兼容
15,concave,adj. 凹的，凹面的 n. 凹面，凹线，凹形
16,conduction,n. 传导
17,convex,adj. 中凸的， 凸圆的， 凸面的 n. 凸状， 凸面体， 凸透镜
18,current,n. (水、气、电)流， 趋势 adj. 流通的， 现在的， 最近的
19,decelerate,v. (使)减速
20,declivity,n. 倾斜面，斜坡
21,dehydrate,v. （使）脱水， （使）干燥
22,density,n. 密集，密度，透明度
23,diffuse,vt. 散播，使(气体或液体)慢慢混合 vi. 弥漫，扩散 adj. 冗长的，四散的，散漫的
24,dilute,vt. 冲淡，稀释 adj. 冲淡的，稀释的，微弱的
25,distillation,n. 蒸馏
26,dynamics,n. 力学，力量，力量变化
27,echo,n. 回声，回音，回波，反响，共鸣 vt. 发回声，回响， 重复， 仿效 vi. 回响， 回荡 n.[计算机] DOS命令 :禁止(或允许)批处理命令行显示屏幕上
28,elasticity,n. 弹力， 弹性
29,electricity,n. 电力；电流；强烈的紧张情绪
30,electromagnet,n.电磁石，电磁体
31,electromagnetism,n. 电磁， 电磁学
32,electron,n. 电子
33,emit,v. 发出，放射，吐露 [计算机] 发射
34,evaporate,v. 蒸发， 失去水分， 消失
35,expansion,n. 扩大，膨胀，扩充
36,focus,n. 焦点， 焦距 v. 集中， 聚集， 使集中
37,friction,n. 摩擦，摩擦力，分歧
38,gravity,n. 地心引力，重力，严重，庄重，严肃
39,image,n. 图像，影像，肖像，想像，形象 vt. 想像，描绘，反映
40,inertia,n. 惯性，惰性
41,infrared,adj. 红外线的 n. 红外线(的)
42,insulator,n. 绝缘体， 绝热器
43,intensity,n. 激烈，强度，强烈，剧烈
44,ion,n. 离子
45,kinematics,n. 运动学
46,lens,n. 镜头，透镜
47,liquid,adj. 液体的， 液态的 n. 液体
48,magnetics,n.磁学
49,magnetism,n. 磁性， 吸引力， 磁学
50,magnifier,n. 放大镜，放大器
51,matter,n. 事件， 物质， 原因 vi. 有关系
52,mechanics,n. 力学，机械学，(技术的，操作的)过程，手法
53,microscope,n. 显微镜
54,microwave,n. 微波，微波炉 vt. 用微波炉加热
55,mirror,n. 镜子 vt. 反映，反射
56,molecule,n. 分子
57,negative,adj. 否定的，负的，消极的 n. 底片，负数，否定 vt. 否定
58,neutron,n. 中子
59,nucleus,n. 核，核心，细胞核，原子核
60,opaque,adj. 不透明的， 难懂的
61,optical,adj. 眼睛的， 视觉的， 光学的
62,optics,n. 光学
63,oscillation,n. 振动， 动摇， 彷徨，振幅，单一的振动循环
64,positive,adj. 肯定的， 积极的， 绝对的 adj. 正面的， 正数的， 阳性的
65,precipitate,vt. 使...陷入，促成，使...沉淀， 猛摔 n. 沉淀物， 冷凝物 adj. 仓促的， 迅猛的， 感情用事的
66,pressure,n. 压力， 压强， 压迫
67,proton,n. 质子
68,quantum,n. 分配量， 额， 量
69,radiate,v. 放射， 散发， 辐射
70,reflection,n. 反映，映像，折射，沉思，影响
71,refraction,n. 折光， 折射
72,relativity,n. 相对性，相关性
73,resonance,n. 共鸣， 共振， 洪亮
74,semiconductor,n. 半导体
75,solid,adj. 固体的，结实的，可靠的，实心的 n. 固体，实心
76,sonar,n. 声纳，声波定位器
77,spectrum,n. 光谱， （比喻）范围， 系列
78,statics,n. 静力学
79,supersonic,adj. 超声波的，超音速的 n. 超声波，超音速（飞机）
80,telescope,n. 望远镜 v. 缩短， 压缩
81,temperature,n. 温度，发烧
82,thaw,n. 融雪 v. 使融解， 暖和
83,thermodynamics,n. 热力学
84,thermometer,n. 温度计
85,translucent,adj. 半透明的
86,transparent,adj. 透明的， 明显的， 清晰的
87,ultrasonics,n. 超声学
88,ultraviolet,adj. 紫外线的 n.紫外线
89,vacuum,n. 真空，空间，真空吸尘器 adj. 真空的，产生(利用)真空的 vt. &amp;vi. 用吸尘器打扫
90,vector,n. 向量，矢量，带菌者 vt. (无线电)导引 adj. 向量性的
91,velocity,n. 速度， 速率， 迅速
92,ventilation,n. 通风处， 通风设备， 充气
93,vibrate,vt. (使)振动，(使)摇摆 vi. 回响，颤动
94,wavelength,n. 波长， 波段
