1,abridge,vt. 删节， 缩短
2,adaptation,n. 改编，适应，改编成的作品
3,affix,v. 使...附于， 署名， 粘贴
4,amend,vt. 修正，改善，改良 vi. 自我修正
5,bilingual,adj. 双语的，用两种语言表达或书写的
6,coinage,n. 造币，货币制度，硬币 n. 创造新词
7,dialect,n. 方言
8,emphatic,adj. 语调强的， 用力的， 强调了的
9,excerpt,n. 摘录 v. 摘录，摘要 vt. 摘，引用
10,genre,n. 类型，流派
11,grammar,n. 语法
12,intonation,n. 语调， 声调
13,language,n. 语言
14,lexical,adj. 字典的， 语句的
15,lingual,adj. 舌的， 舌音的， 语言的 n. 舌音， 舌音字
16,linguistics,n. 语言学
17,paraphasia,n.[医]语言错乱，错语症
18,paraphrase,n. 释义， 解述， 改写 v. 改写， 解述
19,parisyllabic,adj.音节数目相同的
20,parlance,n. 说法， 语调，辩论
21,philology,n. 语言学， 文献学
22,phonemics,n.[语]音位学(尤指音段音位学)
23,phonetic,adj. 语音的，语音学的
24,prefix,n. 前缀 vt. 加...作为前缀，置于前面 adj. 前缀的
25,root,n. 根，根源，祖先 vt. &amp;vi. 生根，扎根，翻寻，起源于
26,semantics,n. 语义学， 符号学
27,sentence,n. 句子，意见，宣判，刑罚，命题 vt. 宣判，判决，使遭受
28,sound,vt. 听（诊）；测量，测…深；使发声；试探；宣告 n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条 adj. 健全的，健康的；合理的；可靠的；有效彻底的 adv. 彻底地，充分地 vi. 听起来；发出声音；回响；测深
29,succinct,adj. 简洁的 adj. [古]紧身的
30,suffix,n. 后缀 vt. 添后缀
31,syllable,n. 音节 vt. 分音节
32,symbol,n. 符号， 标志， 象征
33,synopsis,n. 摘要，概要
34,syntax,n. 句法
35,tag,n. 标签，附属物，名称，谚语 vt. 附以签条，尾随，添饰，指责，连接 vi. 紧随，尾随
