1,Jupiter,n. 木星
2,Mercury,n. 水银， 水星
3,Neptune,n.（罗马神话中的）海王，海神 n. 海王星
4,Saturn,n. [天] 土星；农业之神（罗马神话中的一个形象）
5,Uranus,n.天王星
6,Venus,n. [天] 金星；维纳斯（爱与美的女神）
7,aerolite,n. 陨石
8,antenna,n. 触角，天线，感觉，直觉
9,apogee,n. 最高点，顶点，远地点
10,asteroid,n. 小游星， 小行星， 海盘车 adj. 星状的
11,astronaut,n. 宇航员
12,astronomy,n. 天文学
13,astrophysics,n. 天体物理学
14,celestial,adj. 天上的，非凡的 n. 天神 Celestial adj. 中国的，中国人的 n. 中国人
15,chromosphere,n. 色球层
16,cluster,n. 串，丛，群 v. 聚合，成串，丛生，使...聚集
17,comet,n. 彗星
18,constellation,n. 星座， 星群
19,corona,n. 电晕(冠状物， 日冕， 飞檐的上部)
20,cosmography,n. 宇宙志， 世界志， 天地学
21,cosmos,n. 宇宙 (复数）cosmos或cosmoses:大波斯菊
22,dwarf,n. 矮子，侏儒 vt. 使矮小 vi. 变小
23,eclipse,n. 日蚀，月蚀，衰落 v. 引起日蚀，引起月蚀，使...黯然失色
24,equator,n. 赤道
25,galaxy,n. 银河， 一群显赫之人
26,interferometer,n. 干涉计
27,launch,n.&amp;amp;v. 下水，发射，开始，升天，汽艇
28,lunar,adj. 月亮的，阴历的，银的
29,macula,n. (皮肤上的)斑点
30,multistage,adj. 多节的，多阶段的
31,nadir,n. 最低点，[天文学]天底
32,nebula,n. [天]星云， [医]角膜云翳
33,orbit,n.势力范围， 眼眶， 轨迹 vt. 绕轨道而行， 进入轨道 vi. 盘旋
34,perigee,n. 近地点
35,planet,n. 行星
36,polestar,n.北极星，指导原则，目标
37,pseudoscience,n. 假科学，伪科学
38,quasar,n. 恒星状球体， 半星球体， 类星球体
39,rainbow,n. 彩虹 adj.五彩缤纷的
40,revolve,vt. &amp;vi. 旋转，考虑，循环
41,satellite,n. 卫星，卫星城，随从
42,spaceship,n. 宇宙飞船
43,sphere,adj. 球体的 n. 范围， 领域， 球， 球体
44,universe,n. 宇宙
45,zenith,n. 顶点，天顶，全盛
