1,Antarctic,adj. 南极的 n. 南极洲， 南极圈
2,Antarctica,n. 南极洲
3,archipelago,n. 群岛， 多岛海
4,canal,n. 运河，沟渠，气管，食管 vt. 建运河，疏导
5,cavern,n. 大洞穴 vt. 置于洞穴中，挖空
6,cliff,n. 悬崖， 峭壁
7,coastland,n. 沿海岸地区
8,compass,n. 指南针，圆规 vt. 图谋，包围，达成
9,confluent,adj. 汇流的， 融合性的 n. 汇合的河流，支流
10,continent,n. 大陆， 洲， (the Continent)欧洲大陆
11,contour,n. 轮廓(等高线，周线，电路，概要) vt. 画轮廓(画等高线) adj. 显示轮廓的
12,cosmography,n. 宇宙志， 世界志， 天地学
13,crevice,n. (岩石、墙等)裂缝
14,desert,n. 沙漠，荒地，应得(的惩罚或奖励)adj. 沙漠的，荒凉的vt. 遗弃vi. 擅离职守
15,dune,n. 沙丘
16,ebb,n. 退潮，衰落 vi. 落潮，衰退
17,elevation,n. 提拔，海拔，提高 [计算机] 标高
18,endemic,adj. 风土的， 地方的 n. 地方病， 风土病
19,equator,n. 赤道
20,estuary,n. 河口， 江口
21,ethnography,n. 人种学， 人种论
22,formation,n. 构造，编队，形成
23,geography,n. 地理
24,geology,n. 地质学，（某地区的）地质情况，地质学的著作
25,geothermic,adj.地热的
26,gulf,n. 海湾
27,hemisphere,n. 半球
28,inlet,n. 水湾，入口 vt.引进，插入
29,island,n.岛，岛屿 vt.使孤立
30,lagoon,n. 泻湖(污泥贮留池，沼)
31,latitude,n. 纬度，界限，自由选择权
32,longitude,n. 经度
33,lowland,n. 低地 adj. 低地的 Lowland: 苏格兰低地的
34,marine,n. (海军)士兵或军官， 海景画 adj. 海的，海事的，船舶的，航海的
35,massif,n. 山峦，断层地块
36,meadow,n. 草地， 牧场
37,meridian,n. 子午线， 经线， 顶点，正午 adj. 子午线的， 日中的， 顶点的
38,moist,adj. 潮湿的， 湿润的 (果物)多汁的 [医]有分泌物的， 湿性的 n.潮湿
39,moorland,n. 荒野， 荒地
40,navigation,n. 航行， 航海， 导航
41,oasis,n. 绿洲
42,oceanography,n. 海洋学
43,parallel,adj. 平行的，相同的，类似的，并联的 adv. 平行地 n. 平行线(面)，相似物，对比 vt. 相比，相应，与...平行
44,peninsula,n. 半岛
45,plateau,n. 高原;平稳;稳定状态 vi. 到达平稳阶段
46,range,n.范围； 射程； 类别； （山脉，房屋等的）排列 vi.搜索； 变化； 延伸； 漫游 vt.排列； （按一定位置或顺序）排序； 把…分类； 徘徊 adj.牧场的，放牧区的
47,relief,n.   起伏
48,salinity,n.盐分，盐度
49,sandbank,n.沙洲，沙丘
50,savanna,n. 大草原，无树平原
51,seaquake,n.海震，海啸
52,subterranean,adj. 地下的，隐蔽的
53,swamp,n. 沼泽，湿地 v. 淹没，陷于沼泽
54,temperate,adj. 温和的， 适度的， 有节制的
55,tempest,n. 暴风雨， 骚动
56,terrestrial,adj. 地球的；陆地的，[生物] 陆生的；人间的 n. 陆地生物；地球上的人
57,topography,n. 地志， 地形学， 地势，剖析图
58,toponymy,n.地名，地名研究，部位命名法
59,torrent,n. 激流， 山洪
60,tributary,adj. 纳贡的， 从属的， 补助的 n. 纳贡者， 属国， 支流
61,tropic,n. 回归线，热带 adj. 热带的，向性的
62,tundra,n. 苔原， 冻土地带
63,valley,n. 山谷；流域；溪谷
64,vegetation,n. 植物，草木，(植物)生长
65,zenith,n. 顶点，天顶，全盛
