1,action,n. 起诉，行为，作用，情节，活动
2,adhesive,adj. 相聚为伍的，有粘性的 n. 粘性物
3,alchemy,n. 炼金术，魔力
4,alkali,n. 碱
5,alloy,n. 合金 vt. 使...成合金， 搀以劣质， 减低成色， 影响或贬损 vi. 有合金能力
6,biochemistry,n. 生物化学
7,blast,n. 爆破，冲击波，气流，一阵，汽笛声 vi. 爆破，突然发出声音 vt. 喷射，炸掉
8,bleach,n. 漂白剂， 漂白 vt. &amp;vi. 变白， 漂白
9,calcium,n. 钙
10,catalysis,n. 催化作用
11,caustic,adj. 腐蚀性的， 刻薄的，[物]焦散的 n. 腐蚀物，[物]焦散曲面
12,combination,n. 结合，联合，联合体
13,compound,n. 混合物，复合词 adj. 复(混)合的，合成的 vt. 混合，调合，妥协 vi. 混合，妥协
14,corrode,v. 使腐蚀，侵蚀，破害 v. 腐蚀，被侵蚀
15,crystal,adj. 清澈透明的， 晶体的 n. 水晶， 结晶
16,decay,n. 衰退， 腐败 v. 衰退， 腐败
17,decomposition,n. 分解，腐败，变质
18,derivative,adj. 引出的，系出的 n. 引出之物，系出物，衍生字 n. 导数， 微商
19,electron,n. 电子
20,element,n. 成分，要素，元素，基本原理，(复数)恶劣天气
21,erode,vt. 腐蚀，侵蚀 vi. 受到侵蚀
22,explode,vt. 爆炸，驳倒 vi. 爆炸，爆发(感情)，激增 [计算机] 爆炸
23,explosive,adj. 爆炸(性)的 n. 炸药
24,gasoline,n. 汽油
25,hydrate,n. 水化物 v. （使）水合
26,ignite,vi. 着火， 发光 vt. 点燃， 使...燃烧， 引发
27,impurity,n. 不纯， 杂质
28,iodine,n. 碘， 碘酒
29,isotype,n. 同形像， 同形像统计图
30,metal,n. 金属，质料 adj. 金属制的 v. 以金属覆盖
31,metalloid,adj. 像金属的， 非金属的， 类似金属性的 =metalloidal n. 非金属， 类似金属， 两性金属
32,methane,n. 甲烷
33,molecule,n. 分子
34,neutralize,v. 使中立， 使成中立地带， 中和
35,nickel,n. 镍， 镍币， 五分镍币 vt. 镀镍于
36,nitrogen,n. 氮
37,particle,n. 微粒，质点，极小量
38,polymer,n. 聚合体
39,polymerization,n. 聚合
40,reagent,n. 试药， 试剂
41,rotten,adj. 腐烂的， 腐朽的
42,scorch,v. （使）烧焦， 变焦， （使）枯萎 n. 烧焦
43,silicon,n. 硅
44,sodium,n. 钠
45,solubility,n. 可溶性，溶解度，解决之可能性
46,solution,n. 解答， 解决办法， 溶解， 溶液
47,solvent,n. 溶剂，解决者 adj. 有偿付能力的，有溶解力的
48,sulfur,n. 硫 vt. 用硫处理液化
49,synthetic,adj. 综合的，合成的，人造的 n. 人工制品
50,tint,n. 色彩，浅色，染发剂 vt. 给…染色
51,zinc,n. 锌 vt. 在…上镀锌
