1,academia,n. 学术界(学术生活)
2,accommodation,n. 住处，膳宿；调节；和解；预订铺位
3,admission,n. 许可， 入会费， 承认
4,allowance,n. 限额，定量 n. 津贴，零用钱
5,alumna,n. 女校友， 女毕业生
6,arts,n.文科
7,autonomy,n. 自治
8,award,vt.授予，奖给，判给； 判归，判定 n.奖品； （仲裁人、公断人的）裁定； （法院、法官的）判决； 裁定书
9,chancellor,n. 英大臣(使馆秘书， 首相)
10,compulsory,adj. 被强制的，强迫的，义务的
11,confer,vi. 商讨 vt. 赠予，授予
12,credit,n. 信用， 荣誉， 贷款， 学分 v. 归功于， 赞颂， 信任
13,curriculum,n. 课程，全部课程
14,didactic,adj. 教诲的， 说教的
15,discipline,n. 训练， 纪律， 惩罚; 学科 vt. 训练， 惩罚
16,dissertation,n. 论文
17,elective,adj. 选举的，随意选择的 n. 选修科目
18,elementary,adj. 基本的，初级的，元素的
19,elicitation,n.引出，诱出，抽出，启发
20,enlighten,v. 授与...知识， 启发， 启蒙
21,enroll,vt. &amp;vi. 登记，使加入，卷起
22,extracurricular,adj. 课外的
23,faculty,n.能力，才能； 全体教职员； &lt;英&gt;（大学的）专科，系； 特权，特许
24,heuristic,试探的， 启发式的
25,illiteracy,n. 文盲
26,inculcate,v. 教授，谆谆教诲，教育
27,instruct,v. 教， 命令， 指导 [计算机] 指示
28,interdisciplinary,adj. 各学科间的，跨学科的
29,literacy,n. 读写能力，识字
30,major,n. 主修， 成年人， 陆军少校; 巨头 adj. 主要的， 较多的， 大部份的 vi. 主修
31,mathematics,n. 数学
32,matriculate,v. 准许入学，录取
33,minor,adj. 次要的， 较小的， 二流的， 未成年的 n. 未成年人， 辅修科目， [音乐]小调 vi. 辅修
34,mobility,n. 可动性， 变动性， 情感不定
35,obligatory,adj. 强制性的， 义务的， 必须的
36,optional,adj. 可以任选的，非强制的
37,primary,n. 最主要者 adj. 主要的， 初期的， 根本的
38,rote learning,n. 机械学习
39,scholarship,n. 奖学金， 学问， 学识
40,science,n. 科学
41,secondary,adj. 中级的，中等的，次要的 n. 次要位置， 副手
42,semester,n. 学期
43,socratic,n.(古希腊哲学家)苏格拉底的信徒 adj.苏格拉底[哲学]的
44,specialization,n. 专门化， 特殊化  [生]特化器官（机体）
45,specialty,n. 专门，特别，特性，特产
46,subject,n. 科目， 主题; 缘由 n. (君主国)国民; 实验对象 adj. 服从的， 易患的 vt. 使隶属， 使服从; 使遭遇
47,symposium,n. 讨论会(论文集， 酒会)
48,tertiary,adj. 第三的，第三位的，第三世纪的 n. 臂翼，第三重音，第三会员
49,thesis,n. 毕业论文， 论题， 论文
50,transcript,n. 成绩单 n. 抄本，誊本;副本 n.笔录
51,tuition,n. 教诲，教学，学费
52,universal,adj. 普遍的，通用的，宇宙的 n. 通用
53,vocational,adj. 职业的
