1,atmosphere,n. 大气， 气氛，空气， 格调， 情趣， 气压
2,conservation,n. 保存， 防止流失， 守恒， 保护自然资源
3,contaminate,vt. 弄脏，污染
4,decibel,n. 分贝（音量的单位）
5,desertification,n. (土壤)荒漠化， 沙漠化
6,deteriorate,vt. (使)恶化 vi. (使)恶化， 瓦解， 衰退
7,ecosystem,n. 生态系统
8,effluent,adj. 流出的 n. 流出物，由河，湖等流出之水流
9,emission,n. 发射， 射出， 发行
10,forestation,n.造林
11,hazardous,adj. 危险的，冒险的，碰运气的
12,inorganic,adj. 无机的， 无生物的，非自然生长的
13,lethal,adj. 致命的，毁灭性的，有效的 n. 基因异常，致死基因
14,litter,n. 垃圾， 杂乱，一窝(幼仔)，褥草，轿子 v. 乱丢垃圾， 弄乱，产(幼仔)，用草等给动物铺窝
15,noxious,adj. 有害的， 有毒的
16,nuisance,n. 讨厌的东西，讨厌的人，伤害
17,oasis,n. 绿洲
18,pernicious,adj. 有害的， 恶性的
19,pollutant,n. 污染物质
20,pollute,v. 弄脏，污染 vt. 污染
21,preservation,n. 保存
22,purify,v.(使）净化，（使）精炼，涤罪
23,radioactive,adj. 放射性的
24,renewable,adj. 可更新的(可继续的，可更换的，可展期的)
25,reservoir,n. 水库，蓄水池，积蓄，储藏
26,sewage,n. 脏水， 污水
27,taint,n. 污点， 耻辱， 感染 v. 污染， 中毒
28,toxic,adj. 有毒的 n. 有毒物质
29,venomous,adj. 恶意的， 有毒的
