1,drift,n. 漂移，漂流物，观望，漂流，吹积物，趋势 vi. 漂移，漂流，吹积 vt. 使漂流，把...吹积
2,exude,v. 流出， 渗出
3,float,n. 漂流物，装有轮子的展台或平板车，企业的日常零钱 vt. 使漂浮，提出，开办新公司，洽谈 vi. 漂浮，游荡，飘
4,flow,vi.流； 垂； 流出； （谈话、文体等）流畅 n.流动； 滔滔不绝； 涨潮； 连贯 vt.使泛滥； 淹没； 排出
5,fluctuate,vi. 变动， 上下， 动摇 vt. 使动摇
6,gush,v. 迸出，滔滔不绝地说 n. 涌出
7,influx,n. 流入， 河口， 辐辏 涌进; 汇集[C][S1] an influx of customers 顾客的蜂拥而来
8,leak,n. 漏洞 v. 漏，泄漏 vi. 漏，渗
9,meander,n. 河流的曲折， 漫步， 迂回旅行 v. 漫谈，缓慢而弯曲地流动
10,overflow,n. 溢值，超值，泛滥 v. 泛滥，溢出，充溢 [计算机] 溢出
11,permeate,v. 弥漫， 渗透， 普及
12,splash,n. 飞溅的水， 污点， 卖弄 v. 溅湿， 溅开
13,spout,n. 喷口，水管，（鲸等的）喷水口 v. 喷出， 滔滔不绝地说 n.
14,spray,n. 水沫，喷雾器 vt. &amp;vi. 喷雾，扫射，喷射
