1,accurate,adj. 准确的， 精确的
2,contrive,vt. 1. (不顾困难地)促成某事2. 巧妙地策划；精巧地制造（如机器） vi. 1. (不顾困难而) 设法做到(正式)
3,devise,vt. 设计，遗赠 n. 遗赠(的财产)
4,dissect,v. 解剖， 切细，仔细研究，详细分析
5,exact,adj. 精确的 vt. 强求，要求，索取
6,expertise,n. 专家的意见，专门技术
7,gauge,n. 测量标准，轨距，口径，直径，测量仪器  vt. 测量，估计，判断
8,institute,n. 学会，学院，协会 vt. 创立，开始，制定
9,invent,v. 发明 vt. 发明，创造
10,launch,n.&amp;amp;v. 下水，发射，开始，升天，汽艇
11,mechanical,adj. 机械的，力学的，呆板的    n.(供制版用的)样书， 版面设计
12,precise,adj. 精确的，准确的，认真的
13,precision,n. 精确，精密度 adj. 以精准的执行而著称的， 经得起极精细测量的
14,scale,n. 鳞， 刻度， 衡量， 数值范围 v. 依比例决定， 攀登
15,specimen,n. 样本，标本
16,symbolic,n. 代号 adj. 象征的， 符号的
17,tentative,n. 试验，假设 adj. 试验性质的，暂时的，犹豫不决的
18,theoretical,adj. 理论上的
19,threshold,n. 极限，门槛，入口，开端
20,trial,n.试验； [法]审讯，审判； 磨难，困难； [体]选拔赛 adj.试验的； [法]审讯的
