1,assumption,n. 假定，设想，担任(职责等)，假装
2,causality,n. 缘由， 因果关系
3,clue,n. 线索 vt. 提示
4,conjecture,v.&amp;amp;n. 推测，臆测
5,consequence,n. 结果，后果
6,deduction,n. 减除(额)， 推论
7,demonstrate,vt. 示范， 演示， 证明 vi. 示威
8,framework,n. 结构， 框架， 参照标准， 体系
9,generalize,v. 使一般化， 概括，归纳
10,hypothesis,n. 假设， 猜测， 前提
11,induction,n. 就职，感应，归纳法，序言
12,inductive,adj. 归纳的，动人的 adj. [电]感应的
13,infer,vt. 推断，猜测，暗示 vi. 推论
14,logical,adj. 符合逻辑的，逻辑上的，有推理能力的
15,premise,vt. 引出，预先提出；作为…的前提 n. 前提；上述各项；房屋连地基 vi. 作出前提
16,presume,vt. 姑且认定，假定，推测，认为是理所当然 vi. 假设，越权行事
17,presumption,n. 推测， 可能性，冒昧，放肆，[法律]推定
18,reasoning,n. 推论， 推理， 论证
19,suppose,vt.假定； 猜想，推测； 认为； 让（用于祈祷语气） vi.想象，猜想
