1,acrimonious,adj. 尖刻的
2,ascetic,adj. 禁欲的 n. 苦行者
3,austerity,n. 朴素， 节俭， 苦行
4,drastic,adj. 激烈的，猛烈的，极其严重的
5,exacting,adj. 苛求的， 吃力的 动词exact的现在分词形式
6,grim,adj. 冷酷的；糟糕的；残忍的
7,harsh,adj. 粗糙的， 使人不舒服的，刺耳的， 严厉的，大约的
8,ordeal,n. 严酷的考验，痛苦的经验，神裁法
9,relentless,adj.不懈的； 坚韧的，不屈不挠的； 不间断的； 未减轻的
10,rigid,adj. 僵硬的，刻板的，严格的
11,rigor,n. 严格，严酷， 严密，严厉，[医]寒战，僵直，强直
12,rigorous,adj. 严厉的，严酷的，严格的，细致的
13,ruthless,adj. 残忍的， 无情的
14,scrupulous,adj. 小心谨慎的， 细心的，严谨的
15,serious,adj.严肃的， 庄重的， 严重的， 危急的， 认真的
16,severe,adj. 剧烈的， 严重的， 严峻的， 严厉的， 严格的
17,stern,n. 尾部，船尾 adj. 严厉的，坚决的，可怖的
18,stringent,adj. 严格的， (银根)紧缩的， 变紧的
