1,affable,adj. 和蔼可亲的， 友善的， 殷勤的
2,amiable,adj. 和蔼的， 亲切的
3,benign,adj. 仁慈的，温和的，良性的
4,clemency,n. 仁慈，（气候）温和，和蔼
5,congenial,adj. 同性质的， 适意的， 趣味相同的，友善的
6,cordial,n. 兴奋剂， 补品 adj. 热忱的， 诚恳的， 兴奋的
7,genial,adj. 和蔼的， 亲切的， 宜人的
8,gentility,n. 有教养， 文雅，出身高贵
9,gracious,adj. 亲切的， 高尚的
10,gregarious,adj.  群居的，爱社交的
11,hospitable,adj. 好客的，殷勤的，易于接受的，宜人的
12,humane,adj. 仁慈的，人道的
13,meek,adj. 温顺的， 谦恭的
14,merciful,adj. 仁慈的， 宽大的
15,moderate,adj. 适度的， 稳健的， 温和的， 中等的 v. 节制， 使...稳定， 使...缓和 n. 稳健的人
16,modest,adj. 谦虚的， 适度的， 端庄的
17,sociable,adj. 好交际的， 社交的
18,tractable,adj. 易于管教的
