1,acumen,n. 锐敏， 聪明
2,acuminous,adj.锐利的，敏锐的
3,acute,adj.尖的，锐的； 敏锐的，敏感的； 严重的，剧烈的； [医]急性的， 激烈的， 尖锐的
4,adroit,adj. 熟练的， 灵巧的，机敏的
5,astute,adj. 机敏的， 狡猾的
6,canny,adj. 精明的， 谨慎的，节俭的 adv. 仔细地
7,dexterous,adj. 灵巧的，机灵的 =dextrous
8,expeditious,adj. 迅速的， 敏捷的
9,exquisite,adj. 精挑细选的，精致的，细腻的，强烈的 n. 过分在意外表着装的人
10,intelligent,adj. 聪明的， 智能的
11,nimble,adj. 敏捷的，伶俐的， 精明的
12,penetrating,adj. 敏锐的， 尖锐的
13,perspicacious,adj. 颖悟的， 聪明的， 有洞察力的
14,shrewd,adj. 精明的
15,smart,adj. 聪明的，时髦的，漂亮的，敏捷的，轻快的，整洁的 vi. 刺痛，难过，烦恼 n. 刺痛，苦恼 adv. 轻快地，，机灵地，整齐地，漂亮地; v. 感到剧烈刺痛，（因批评、失败等）难过，烦恼
16,tact,n. 机智， 手法
17,versatile,adj. 多才多艺的，多方面的，通用的，
