1,astonish,v. 使...惊讶
2,astonished,adj. 惊讶的 动词astonish的过去式和过去分词
3,astound,v. 使惊骇， 使大吃一惊  adj. &lt;古&gt;震惊的
4,breathtaking,adj. 惊险的(吃惊的)
5,dismay,n. 沮丧， 绝望 vt. 使...灰心，使...惊愕
6,dumbfound,vt. 使...惊呆，使...发愣 =dumfound
7,fabulous,adj.极好的，极妙的； （美貌）惊人的； 寓言般的； 难以置信的
8,inconceivable,adj. 不可思议的
9,incredible,adj. 难以置信的， 惊人的
10,marvelous,adj. 令人惊异的，了不起的，不平常的
11,overwhelm,v. 淹没，受打击，压倒
12,petrify,vt. 硬化(使...石质化，使...发呆)
13,scare,vt. 惊吓(惊恐，惊慌) vi. 受惊吓 n. 惊吓(惊恐，惊慌)
14,spectacular,adj. 壮观的， 令人惊叹的 n. 惊人之举， 壮观的表演或影视作品
15,startle,n. 惊愕， 惊恐 v. 吃惊， 使...惊愕
16,striking,adj. 引人注目的，显著的，罢工的，打击的 n. 打击
17,stun,vt. 使晕倒，使惊吓 n. 震惊
