1,acid,adj. 酸的 n. 酸， 酸味物质
2,aroma,n. 浓香， 香气
3,aura,n. 气味， 气氛; n. 光环， 光圈
4,balmy,1. (指空气)暖和的;温暖的 2. 芳香的;能止痛的;如香酯的
5,bitter,adj. 苦的，痛苦的，剧烈的，严寒的 n. 苦久， 苦涩， 苦的东西 vt. 使...变苦 adv. 激烈地，极其
6,delicious,adj. 可口的， 美味的
7,fishy,adj. （味道或气味）象鱼的，可疑的
8,flavor,n. 滋味， 香料， 风格 vt. 加味于
9,fragrant,adj. 芬香的，馥郁的，愉快的
10,odorous,adj. 芳香的，有气味的，有臭气的，臭的
11,palatable,adj. 美味的， 愉快的
12,peppery,adj. 胡椒味的， 暴躁的
13,perfume,n. 香水，香气 v. 洒香水于，薰香
14,pungent,adj. 苦痛的，刺激性的，严厉的
15,savor,n. 滋味， 气味， 食欲， 特定的味道或气味， 一种有特色的性质 vi. 有...的滋味， 有...气味 vt. 加调味品于， 使有风味， 尝到或闻到， 尽情享受
16,smell,n. 味道，气味，嗅 vt. 闻，探出，发臭 vi. 闻，发臭
17,sour,adj. 酸的，腐坏的，抑沉的，刻薄的 vt. &amp;vi. 变酸，变乖戾，腐坏
18,vinegary,adj. 酸的，尖刻的
