1,compact,adj. 紧凑的，紧密的，简洁的 v. 使装满，使简洁  [计算机] 紧凑的 n. 合约，条约
2,crisp,adj. 脆的，易碎的 n. 薯片，松脆物 vt. &amp;vi. 使发脆
3,crooked,adj. 弯曲的， 歪的， 不老实的，不正直的 crook的过去式和过去分词
4,dense,adj. 不易看透的， 密集的， 浓厚的， 愚钝的
5,depression,n. 沮丧，萧条
6,ethereal,adj. 轻巧的，飘逸的，精致的，飘渺的 adj. [化学]乙醚的
7,hectic,adj. 兴奋的，持续发热的，发红的
8,impervious,adj. 不能渗透的， 不为所动的
9,lithe,adj. 柔软的， 易弯的
10,lofty,adj. 高的， 高超的， 傲慢的
11,malleable,adj. 可塑的， 易改变的
12,ponderous,adj. 笨重的， 笨拙的，乏味的
13,shallow,adj. 浅的， 肤浅的， 浅显易懂的 n. (pl.)浅滩， 浅处 v. 变浅
14,slim,adj. 苗条的， 细长的， 微小的 vt. 使...变苗条 vi. 减轻体重， 变苗条
15,slippery,adj. 滑的
16,sloppy,adj. 被泼水弄湿的， 泥泞的， 多阴雨的，邋遢的，零乱的
17,supple,adj. 柔软的， 易弯的，逢迎的， 顺从的，灵活的 vt.使柔软，使柔顺，使顺从 vi.变柔软，变柔顺
18,tenuous,adj. 稀薄的，微细的 贫乏的;平淡的;脆弱的，无力的
