1,appoint,vt. 任命，指定，预约，装饰 vi. 行使任命权
2,assumption,n. 就职
3,audition,n. 听， 听力， 试听 vi. 试演，试唱，试音  vt. 对（某人）面试；让（某人）试演（或试唱、试音）
4,career,n. 生涯， 职业， 事业 vi. 猛冲， 飞跑 vt. 在...中急行
5,dismiss,vt.解雇，把…免职； 遣散，解散（队伍等）； 驳回，拒绝受理； 搁置 vi.解散
6,draft,n. 草稿，草图，汇票，徵兵 vt. 起草，征兵，选秀 adj. 酝酿中的
7,drudgery,n. 苦差事， 苦工
8,hectic,adj. 兴奋的，持续发热的，发红的
9,inaugurate,v. 举行就职典礼，举行仪式 v. 开始，开创
10,interview,n.  面谈，访问，接见 vt. 接见，对...进行面谈(试) vi. 面试， 采访
11,log,n. 记录，圆木，日志，计程仪 vt. 伐木，切，记录，航行，度过(时间) vi. 采伐
12,occupation,n. 职业
13,overtime,n. 加班时间(加班加点费) adv. 在规定时间之外(超出时间地)
14,profession,n. 职业，专业，声明，信仰
15,promote,vt. 促进， 提升， 升迁; 发起; 促销
16,register,v. 记录， 登记， 注册， 挂号 n. 暂存器， 记录， 登记簿 n. (语)语域; 通风调节设备
17,resign,vi. 辞职，顺从 vt. 辞职，放弃，使顺从
18,sketch,n. 素描，草图，概述，小品 vt. 描绘略图 vi. 写生
19,trade,n. 贸易，商业，交易，行业，同行，手工艺，主顾，(复数)信风 vi. 做生意，购物，交换 vt. 用某物交换，做买卖 adj. 商业的，专业性的，同行的
20,undertaking,n. 事业， 企业， 保证
21,vocation,n. 职业，行业，职务
