1,abiding,adj. 永久的，持久的，不变的
2,abrupt,adj. 突然的；唐突的， 陡峭的
3,beforehand,adv. 预先， 事先
4,chronic,adj. 长期的，慢性的，惯常的
5,concur,v. 意见相同， 一致， 互助
6,concurrent,adj. 同时发生的
7,contemporary,n. 同时代的人；同时期的东西 adj. 当代的；同时代的；属于同一时期的
8,current,n. (水、气、电)流， 趋势 adj. 流通的， 现在的， 最近的
9,cursory,adj. 匆匆忙忙的， 草率的， 粗略的
10,dated,adj. 过时的，陈旧的 动词date的过去式和过去分词
11,due,adj.由于； 适当的； 预定； 到期 n.应有的权利； 应得到的东西； 应缴款 adv.正向； 正对着
12,duration,n. 持续时间，期间
13,elapse,v. 逝去， 过去
14,epoch,n. 时期，时代，新纪元，划时代的大事，世
15,era,n. 纪元， 时代， 年代
16,eternal,adj. 永久的，永恒的 n. 永恒的事
17,everlasting,adj. 永恒的， 持久的， 无止境的 n. 永恒，永久盛开的花 [大写]Everlasting: 上帝
18,extant,adj. 现存的
19,extemporaneous,adj. 即兴的，不用讲稿的，临时的，权宜的
20,former,adj. 以前的，在前的 pron.&amp;amp;n. 前者
21,formerly,adv. 以前， 从前
22,forthright,adv. 直截地，马上，立即 adj. 直截的，直率的，坦白的 n. 直路
23,hasty,adj. 匆匆的， 轻率的， 急忙的
24,immediate,adj. 立即的， 即刻的， 直接的， 最接近的
25,impromptu,adj. 即席的， 即兴的 adv. 即兴的(地)， 无准备的(地)
26,improvise,v. 即席写作，即席即兴，即席而作
27,instantaneous,adj. 瞬间的， 即刻的 adv. 瞬间， 霎时
28,interlude,n. 中间， 中间时间， 介在中间的事件
29,juncture,n. 接合， 连接， 接缝
30,lasting,adj. 永久的， 永恒的 动词last的现在分词
31,lately,adv. 最近， 不久前
32,nocturnal,adj. 夜的 n. 夜间时刻测定器
33,obsolete,adj. 已废弃的， 过时的
34,occasional,adj. 偶然的， 不时的
35,overdue,adj. 过期的， 未兑的， 迟到的
36,perennial,adj. 四季不断的， 继续多年的，永久的 n.多年生植物
37,permanent,adj. 永久的， 持久的 n. (口)烫发
38,pressing,adj. 紧迫的，紧急的，切实的 vbl. 压迫
39,previous,adj. 在...之前， 先， 前， 以前的
40,previously,adv. 以前(预先)
41,punctual,adj. 严守时刻的，准时的，正点的
42,recently,adv. 最近
43,schedule,n. 时间表， 一览表， 计划 vt. 安排， 计划， 预定， 编制目录
44,session,n.开会，会议；（法庭的）开庭； 会期，学期； （进行某活动连续的）一段时间
45,simultaneously,adv.同时地
46,subsequent,adj. 随后的，后来的
47,synchronize,v. 使同时， 同时发生
48,temporal,adj. 当时的，暂时的，现世的 n. 世间的事物
49,temporary,adj. 暂时的，临时的 n. 临时工
50,tentative,n. 试验，假设 adj. 试验性质的，暂时的，犹豫不决的
51,transient,adj. 短暂的 n. 短期居留者，瞬间的变化
52,transitory,adj. 暂时的，瞬息的， 短暂的， 片刻的
53,urgent,adj. 急迫的，紧要的，紧急的
