1,Brisbane,n. 布里斯班(澳大利亚地名)
2,Canberra,n. 堪培拉（澳大利亚首都）
3,Gold Coast,黄金海岸(加纳南部的一段西非海岸)， 黄金海岸南部的前英国殖民地
4,Great Barrier Reef,大堡礁
5,Hobart,霍巴特[澳大利亚塔斯马尼亚岛东南岸港市]( 塔斯马尼亚州首府)
6,Melbourne,n. 墨尔本（澳大利亚城市）
7,Oceania,n. 大洋洲
8,Perth,n. 佩思(澳大利亚城市)
9,Queensland,n. 昆士兰州(澳大利亚)
10,Sydney,n. 悉尼(澳大利亚东南部一城市)
11,Tasmania,n. 塔斯马尼亚(岛)
12,Vitoria,维多利亚[西班牙北部城市]
13,bicameral,adj. 两院制的
14,escarpment,n. 陡坡， 悬崖
15,eucalyptus,n. 桉树
16,immigration,n. 移居， 移民
17,judiciary,n. 司法部， 司法制度， 法官 adj. 司法的， 法院的， 法官的
18,kangaroo,n. 袋鼠
19,koala,n. 考拉，树袋熊
20,mangrove,n. 红树， 红树林
21,multicultural,adj. (融合或具有)多种文化的
22,new south wales,n. 新南威尔士(澳洲东南部的一州)
23,parliamentary,adj. 国会的， 议会的， 议会制度的
24,plateau,n. 高原;平稳;稳定状态 vi. 到达平稳阶段
25,shipbuilding,n. 造船，造船业
26,sporadic,adj. 不定时发生的， 零星的
27,vineyard,n. 葡萄园， 酿酒庄园
