1,assembly,n. 集合， 集会， 装配
2,behave,vt. &amp;vi. 举止，行为，举止端正
3,conserve,n. 蜜饯，果酱 vt. 保存，与糖放在一起，保持
4,construct,vt. 构造，绘制，建造，想出 n. 构想，建造物
5,convey,vt. 传达，运输，转移 [计算机] 输送
6,fabricate,vt. 制造；伪造；装配
7,gear,n. 齿轮，传动装置，设备，工具 vt. &amp;vi. 使适应于，以齿轮连起，配搭活动，调整
8,hoist,n. 升高，起重机，推动 v. 升起，升高，举起
9,manipulate,v. 操纵，利用，假造 [计算机] 操作
10,manufacture,n. 产品，制造，制造业 vt. 制造，加工 vi. 参与制造
11,mill,n. 磨粉机， 磨坊， 制造厂， 密尔:一种货币单位， 使陷于困境 vt. 磨细 vi. 乱转， 磨细
12,mine,pron.(I的所有格)我的（东西） n.矿； 矿井； 地雷； 水雷 vt.&amp; vi.在…中开采，开采 vt.在…中[下]布雷； 以地雷[水雷]炸毁
13,monitor,n. 监督器， 班长， 监听员， [计算机]显示器， 监视器 v. 监视， 监听， 监督
14,outfit,n. 用具，配备，机构，全套服装 vt. 配备，供应 vi. 得到装备
15,practical,adj. 实际的，实用的，明智的 n. 实践考试
16,preserve,vt.保护； 保持，保存； 腌制食物； 防腐处理 vi.保鲜； 保持原状； 做蜜饯； 禁猎 n.蜜饯； 防护用品； 禁猎地； 独占的事物（或范围）
17,raise,n. 上升， 增高; 高地 vt. 升起， 举起， 饲养; 提出， 引起
18,release,n. 释放， 让渡， 发行 vt. 释放， 让与， 准予发表， 发射
