1,banquet,n. 宴会 vi. 宴请 vt. 宴会， 设宴
2,bidding,n. 命令，要求，投标，出价 动词bid的现在分词形式
3,celebrate,vt. &amp;vi. 庆祝，祝贺，颂扬
4,ceremonial,n. 仪式 adj. 正式的
5,ceremonious,adj. 1. 好礼仪的，讲究礼节的，正式的
6,ceremony,n. 典礼，仪式，礼节，礼仪
7,commemorate,v. 纪念，庆祝 vt.&amp;amp;n. 纪念
8,conference,n. 会议
9,decorum,n. 端正， 礼貌合宜， 礼仪
10,entertain,vt. &amp;vi. 娱乐，招待，怀抱
11,etiquette,n. 礼仪， 礼节， 成规
12,formal,adj. 正式的，形式的，礼节上的，拘谨的 n. 正式(活动)
13,opening,n. 开始， 口， 揭幕， 空缺的职务 vbl. 打开， 开放， 开始
14,reception,n. 接待，招待会，接收，欢迎，接受
15,session,n.开会，会议；（法庭的）开庭； 会期，学期； （进行某活动连续的）一段时间
16,unveil,vt. 揭开，公布 vi. 揭开
