1,convert,v. 使转变， 使...改变信仰， 倒置 n. 皈依者， 改宗者
2,copious,adj. 丰富的， 大量的，(指作家)多产的
3,diverse,adj. 不同的，相异的，多种多样的
4,diversify,v. 使成形形色色， 使多样化， 使变化
5,enrich,vt. 使富足，使肥沃，添加元素
6,fickle,adj. 变幻无常的， 轻浮的，（爱情或友情上）易变的
7,lavish,adj. 大方的，丰富的，浪费的 vt. 浪费，慷慨给予
8,manifold,n. 复印本，多种 adj. 多种的，有许多部份的，多方面的 v. 复写，繁殖，增多
9,mutation,n. 变化， 转变， 母音变化
10,profuse,adj. 很多的， 丰富的，浪费的
11,transform,vt. 转换，变形 vi. 改变 n. 变形
12,transition,n. 过渡，转变
13,variant,n. 变体 adj. 不同的
14,variation,n. 变化，变动，变种，变奏曲
15,various,adj. 各种各样的
16,vary,vt. 改变，使多样化 vi. 变化，违背
