1,constrict,v. 压缩， 束紧， 使收缩
2,contract,n. 合约， 婚约; 合同书 v.签合同； 缩小； 感染
3,curtail,vt. 缩减， 削减，截短
4,decline,n. 衰微， 跌落; 晚年 v. 降低， 婉谢
5,decrease,n. 减少(量)，降低 vt.&amp; vi. 减少，降低
6,deduct,vt. 扣除，减去；
7,detract,vi. 减损  vt. 转移
8,diminish,vt. 减少，变小， 减损 vi. 变少， 逐渐变细
9,dwindle,v. 减少， 缩小
10,indent,n. 契约， 订货单 v. 切割成锯齿状， 缩排， 定货 [计算机] 缩排， 缩进
11,narrow,adj. 狭窄的，有限的；勉强的；精密的；度量小的 n. 海峡；狭窄部分，隘路 vt. 使变狭窄 vi. 变窄
12,reduce,vt.换算； 约束； 使变为； 使变弱 vi.减少； 减轻体重； [生物学]（细胞）减数分裂； （液体）浓缩变稠
13,restrict,v. 限制，约束
14,shrink,n. 收缩，萎缩 vi. 收缩，退缩，萎缩 vt. 使收缩
15,subtraction,n. 减法， 减去
