1,arouse,vt. 唤醒，激发，激起 vi. 唤醒
2,elicit,vt. 引出，诱探出
3,encourage,v. 鼓励，激励，支持 vt. 鼓励
4,evoke,vt. 唤起，引起
5,foment,v.挑起，激起，煽动（事端或暴力）
6,fortify,vt. 强化，增强，筑防御工事于，（物质或精神上）支持或鼓励 vi. 构建防御工事
7,further,adj. 更远的 adv. 此外， 进一步地 v. 促进， 推动 vt. 促进
8,hasten,v. 催促， 赶快， 急忙
9,impulsive,adj. 冲动的， 受感情驱使的， 任性的
10,incite,v. 煽动，刺激， 激励
11,inspire,vt. 影响，使...感动， 激发，煽动 vi. 吸入
12,instigate,v. 教唆 ， 煽动， 唆使， 策动 ， 主使， 激励
13,intensify,vt. 增强(强化，加剧，加厚，增高银影密度)
14,kindle,v. 燃烧， 使...著火， 引起，激发
15,prod,n. 刺针， 刺棒， 签子 v. 戳， 刺， 刺激
16,promote,vt. 促进， 提升， 升迁; 发起; 促销
17,prompt,adj. 迅速的， 敏捷的， 立刻的 vt. 激起， 促进， 推动; 提示 vi. 提示 n. 提示; 提示的内容 n. [商]付款期限
18,propel,v. 推进， 驱使
19,spur,n. 马刺， 刺激， 鞭策， 支脉， (公路或铁路的)支线，  vt. 以马刺策(马)前进， 刺激， 激励， 给(马)装马刺
20,stimulate,vt. 刺激，激励，鼓舞 vi. 起刺激作用
21,urge,n. 冲动 vt. 驱策，鼓励，力陈，催促 vi. 极力主张
