1,abortive,adj. 早产的，失败的， 落空的，[生]发育不全的
2,absurd,adj. 荒唐的 n. 荒唐
3,blunder,n. 大错， 大失策 v. 失策， 绊倒， 弄糟
4,credulous,adj. 轻信的
5,defect,n. 缺点 vi. 背叛
6,defective,adj. 有缺陷的，欠缺，不完全变化动词 n. 有缺陷的人，不完全变化动词
7,drawback,n. 不利点，退税
8,err,v. 犯错， 做错 v.
9,erroneous,adj. 错误的， 不正确的
10,fallible,adj. 易错的，可能犯错的
11,flaw,n. 缺点，裂纹，瑕疵，突然的狂风天气 vi. 变得有缺陷 vt. 使破裂
12,futile,adj. 无效的， 无用的
13,heedless,adj. 不注意的， 不留心的
14,ignore,vt. 不顾，不理，忽视
15,innocent,adj. 无罪的， 不懂事的， 无知的， 无辜的
16,neglect,n. 疏忽，忽略，怠慢 vt. 疏忽，忽视，不顾
17,negligence,n. 疏忽， 粗心大意
18,negligent,adj. 疏忽的， 粗心的， 不在意的
19,oblivion,n. 遗忘， 忘却
20,offhand,adj. 即时的， 即席的， 无准备的 adv. 即时地， 即席地， 随便地
21,omit,vt. 省略，疏忽，遗漏
22,overlook,v. 俯看， 远眺， 没注意到
23,regardless,adj. 不注意的， 粗心的 adv. 不顾
24,ridiculous,adj. 可笑的；荒谬的
25,slovenly,adj. 不修边幅的，邋遢的 adv. 不修边幅地，邋遢地
26,useless,adj. 无用的，无效的
