1,adopt,v. 采用， 收养， 接受
2,assist,n. 帮助，协助，协助的器械 vt. 帮助，协助 vi. 帮助，协助，出席
3,beneficial,adj. 有益的，有利的
4,benefit,n. 利益， 津贴; 义卖， 义演 vt. 有益于 vi. 得益
5,benevolent,adj. 仁慈的，乐善好施的
6,bestow,vt. 授予，适用，利用
7,champion,n. 冠军， 拥护者， 勇士 vt. 保卫， 拥护
8,charitable,adj. 仁慈的， (为)慈善事业的，宽恕的
9,charity,n. 慈善机关(团体)，仁慈，宽厚
10,donate,vt. 捐赠，转移(电子) vi. 捐款
11,extricate,vt. 使解脱， 救出
12,gainful,adj. 有利益的，唯利是图的，有报酬的
13,instrumental,adj. 仪器的，器具的，可做为手段的
14,obliging,adj. 乐于助人的 oblige的现在分词
15,prop,n. 支柱，支持者，倚靠人 v. 支撑，维持
16,redress,n. 赔偿， 救济， 矫正 v. 纠正， 匡正， 革除
17,rescue,n. 援救，解救，营救队 vt. 援救，救出，营救
18,salvage,n. 救捞(抢修，废物利用，废弃品，救难费) vt 救捞(抢修，废物利用)
19,save,vt.节省； 保存； 储蓄； 解救 vi.节省； 挽救； 救球 prep.&amp;conj.除…之外 n.救援，救援
