1,acknowledge,vt. 承认，公认，告知收到，表示感谢，注意到
2,admit,vt.&amp; vi.许可进入； 承认，供认 vt.允许； 确认 vi.承认； 允许
3,affirm,vt. 证实，断言，肯定 vi. 断言，申明
4,approve,vt. 批准，核准，证实 vi. 赞同
5,avow,v. 承认，公开宣称 vt. 声明
6,comply,vi. 顺从，答应
7,concede,vt. 承认，给予 vi. 让步
8,concession,n. 让步， 妥协， 特许权
9,concur,v. 意见相同， 一致， 互助
10,confess,v. 承认， 告白， 忏悔
11,connivance,n. 默许， 纵容， 共谋 =connivence
12,connive,v. 假装不见，默许，共谋
13,corroborate,v. 使坚固，确证，给确证与...
14,endorse,vt. 背书；认可；签署；赞同；在背面签名
15,grant,vt.承认； 同意； 准许； 授予 n.拨款； 补助金； 授给物（如财产、授地、专有权、补助、拨款等） vi.同意
16,guarantee,n. 保证(书)， 担保(书) n. 担保人; 抵押品 vt. 保证， 担保
17,pardon,n. 原谅，赦免 vt. 宽恕，原谅
18,permissible,adj. 可允许的，可容许程度的
19,permissive,adj. 许可的，获准的，自由的
20,permit,n. 许可证，执照 vt. &amp;vi. 允许，许可
21,ratify,v. 批准， 认可
22,reception,n. 接待，招待会，接收，欢迎，接受
23,recognition,n. 认出，承认， 感知，知识
24,recognize,vt. 认出，认可，承认，意识到，表示感激
25,tacit,adj. 心照不宣的
