1,camouflage,v. 伪装， 欺瞒
2,conceal,vt. 隐藏， 掩盖
3,cryptic,adj. 秘密的(使用密码的， 意义深远的)
4,disguise,n. 假面目，伪装物，假装 vt. 假装，假扮，掩饰
5,dissemble,v. 掩饰， 假装不知道
6,feign,vt. 假装，捏造 vi. 假装， 装作
7,hide,vt.隐藏； 躲避，隐匿，躲藏； 遮蔽，覆盖 vi.隐瞒； 遮住； 遮挡； 掩盖 n.兽皮； &lt;口&gt;生命； &lt;口&gt;人的皮肤； （观看野生动物的）隐蔽处
8,lurk,vi.潜伏，埋伏； 潜藏，潜在； 偷偷地行动
9,mask,n. 口罩， 假面具，掩饰， 面膜 vt. &amp;vi. 戴面具，掩饰，化装 [计算机] 掩码
10,obscure,adj. 微暗的，难解的，不著名的，[语音学]轻音的  vt. 使...阴暗，隐藏，使...含糊，成为含糊的元音   n. 暗淡，模糊
11,pretend,vt. &amp;vi. 假装，伪称 adj. 假装的，赝品的，模拟的
12,screen,n.屏幕； 银幕； 屏风 vt.筛（煤、矿石等）； 拍摄； 放映（电影）； 庇护
13,secluded,adj. 隐退的， 隐蔽的 动词seclude的过去式和过去分词
14,seclusion,n. 隔离(隔绝)
15,simulate,v. 假装，冒充，模仿，模拟
16,veil,n. 面纱，掩饰物，修女 vt. 给...戴面纱或面罩 vi. 带面纱或面罩
