1,bicker,vi. 斗嘴， 闪烁，发出潺潺声 n. 口角，争吵，潺潺流水声
2,brawl,n. 争吵，大声的吵闹 vi. 争吵，发出大声吵闹
3,challenge,n.挑战； 盘问； 质疑； 怀疑 vt.质疑； 向…挑战 vi.提出挑战，要求竞赛（或竞争）； 驳斥
4,contentious,adj. 好争吵的，爱争论的，有异议的
5,contradict,vt. 反驳，与...矛盾
6,contradictory,adj. 反驳的，反对的，抗辩的 n. 正反对，矛盾对立
7,contravene,vt. 违反(同...相抵触，否定)
8,controversial,adj. 引起争论的，有争议的
9,controversy,n. (公开的)争论，争议
10,controvert,v. 议论， 辩驳， 驳击
11,counter,n. 计算器，计算者，柜台  [计算机] 计数器 adj. 相反的  adv. 与…相反地  vt. 反对，反击  vi. 反对，反击
12,debatable,adj. 有疑问的，有争议的，成问题的
13,debate,n. 辩论，讨论 vt. 争论，思考 vi. 商讨，辩论
14,disprove,vt. 证明...是不对的， 提出...的反证
15,dispute,n. 争论; 争吵 vi. 争论， 争执 vt. 争论; 质疑; 争夺; 抵抗
16,dissentious,adj. 好争论的， 争吵的
17,eloquence,n. 雄辩， 口才
18,eloquent,adj. 雄辩的， 有口才的， 动人的
19,gainsay,v. 否认
20,haggle,vi. 争论，讨价还价 vt. 乱砍  n. 杀价，争论
21,oppose,vt. 反对，以...对抗，抗争
22,quarrel,n. 吵架，争论，怨言 vi. 吵架，争论，挑剔
23,rebut,v. 反驳，　辩驳， 举反证
24,refute,vt.驳斥，驳倒； 否认真实性
25,rejoinder,n. 回答
26,retort,v. 反驳， 回嘴， 反击 n. 反驳， 顶嘴 n. 蒸馏器
27,squabble,v. （为琐事）争论，口角  n. 争论，口角
28,tiff,n. 一口， 小争吵， 小口角 vi. 小争吵， 生气
29,wrangle,v. 争论， 激辩， 吵架 n. 争吵
