1,accentuate,v. 以重音念， 强调， 重读
2,account,n.账，账目； 存款； 记述，报告； 理由 vi.解释； 导致； 报账 vt.认为； 把…视作
3,cite,vt. 引用，引证，传讯，嘉奖
4,clarify,vt. 澄清，阐明，使...明晰
5,construe,v. 解释， 翻译 vt. 解释
6,convey,vt. 传达，运输，转移 [计算机] 输送
7,cover,n. 封面， 盖子， 表面 v. 覆盖， 涉及， 包含
8,delineate,v. 描画 vt. 描绘
9,depict,vt. 描述，描绘
10,divulge,v. 泄露， 暴露
11,elaborate,adj. 精细的， 详尽的， 精心的 v. 详细地说明， 用心地作， 推敲
12,elucidate,v. 阐明， 说明
13,emphasize,v. 强调，着重 vt. 强调
14,enunciate,v. 发音， (清楚地)表达
15,exemplify,vt. 例证，例示
16,exposition,n. 博览会， 展览会， 说明
17,expound,v. 详细说明，阐述，解释
18,highlight,n. 加亮区，精彩部分， 最重要的细节或事件， 闪光点 vt. 加亮，强调， 使...显得重要， 照亮 [计算机] 醒目
19,illuminate,vt. 照明，阐释，说明
20,illustrate,vt. 举例说明，作图解 vi. 举例
21,insinuate,vt. 暗示，迂回进入 vi. 迂回进行
22,narrate,v. 叙述 vt. 叙述(故事)，描述
23,proclaim,vt. 正式宣布， 公布， 声明， 赞扬， 显示出
24,reiterate,vt. 反覆地说，反覆地做
25,render,vt. 使成为， 提供， 报答， 着色; 执行， 实施 vi. 给予补偿 n. 交纳， 粉刷， 打底
26,specify,vt. 明确说明，叙述，指定，详细说明
