1,accost,v. 招呼， 搭讪
2,coax,v. 哄， 诱骗， 灵巧慢慢地做
3,colloquial,adj. 白话的，口语的，语体的
4,compliment,n. 称赞，恭维，(复数)致意 vt. 称赞，恭维
5,confide,v. 吐露，信托，信赖
6,declaim,v. 高谈阔论， 雄辩， 大声说
7,dialogue,n. 对话 vt.&amp; vi. 对话
8,dumb,adj. 无言的， 沉默的， 哑的， 愚蠢的 vt. 使人沉默
9,effuse,v. 流出， 散布 adj. 散出的，扩散的
10,equivocate,vi. 说模棱两可的话，支吾其词
11,excuse,n. 借口，理由；低劣的样品，假条 vt. 原谅，辩解，准许离开，同意赦免
12,gabble,v. 七嘴八嘴地说， 急促而不清楚地说 n. 急促讲出而叫人听不清说的话
13,gossip,n.  闲聊，随笔 vi. 散播流言蜚语
14,grumble,v. 发牢骚，抱怨，轰鸣 n. 怨言，牢骚，轰隆声
15,hearsay,n. 风闻
16,hoarse,adj. 沙哑的， 嘶哑的， 刺耳的
17,hubbub,n. 嘈杂， 喧哗
18,interrupt,n. 中断 vt. 打断，妨碍 vi. 插嘴 [计算机] 中断
19,nonsense,n. 无意义的事，荒谬的言行，荒唐
20,oration,n. 演说， 致辞， 叙述法
21,outwit,vt. 瞒骗， 以智取胜
22,refer,vt. 把…提交; 把...归因， 归类为 vi. 谈及， 咨询， 参考
23,rumble,n. 隆隆声， 辘辘声 n.(旧式汽车车厢后的)折叠加座 打群架 v. 发隆隆声， 使辘辘响
24,solicit,vt. 勾引， 乞求， 设法获得某事物 vi. (妓女)拉客
