1,abduction,n. 诱拐
2,abolish,vt. 废止，革除
3,abstain,v. 自制， 戒绝
4,abstinence,n. 节制， 禁食， 戒酒
5,accomplice,n. 共犯， 同谋，帮凶
6,accusation,n. 控告，指控，非难
7,acquittal,n. 履行，开释，释放
8,adultery,n. 通奸
9,annulment,n. 废除，取消，宣告婚姻无效
10,arbitration,n. 仲裁， 公断
11,assassination,n. 暗杀
12,attorney,n. (辩护)律师
13,bill,n.账单； 钞票； 清单； 广告 vt.安排； 给…开账单； 为…发提（货）单； 把…登录在账 vi.鸟嘴相接触
14,breach,n.  裂口，违背， 冲击， 决裂 vt. 违反，在...上打开缺口， 突破 vi. 跃出水面
15,bribery,n. 贿赂行为， 行贿， 受贿
16,calumny,n. 诽谤， 中伤
17,cancellation,n. 取消
18,captivity,n. 囚禁， 被俘虏
19,clause,n. 分句， 从句， 条款， 款项
20,codification,n.法典编纂，法律成文化
21,compensation,n. 补偿， 赔偿; 赔偿金， 物
22,complaint,n. 抱怨
23,condone,vt. 宽恕；赦免
24,confirmation,n. 确认， 证实， 基督教的坚信礼
25,confiscate,v. 没收， 充公， 查抄
26,constitution,n.建立，组成； 体格； 构成方式； 宪法
27,contravene,vt. 违反(同...相抵触，否定)
28,convict,n. 囚犯，罪犯v. 使...确信自己犯错，宣告...有罪，使...知罪
29,copyright,adj. 版权(的) n. 版权，著作权
30,corruption,n. 腐败， 堕落， 贪污
31,court,n. 法院， 庭院， 奉承， 球场 v. 献殷勤， 追求， 招致（危险、失败等）
32,credential,n. 凭证  adj. 证明可信任的  v. 授以证书
33,culprit,n. 犯人，罪犯，刑事被告，肇事者，罪魁祸首
34,decree,n. 法令，判决，天意 vt. 通过法令颁布，裁定
35,defendant,n. 被告
36,delinquency,n. （少年）犯罪，失职，过失 n. 逾期债款
37,denounce,v. 告发， 公然抨击
38,deposition,n. 沉积作用(沉积物， 矿床)； &lt;律&gt;(在法庭上的)宣誓作证;证词，证言
39,detain,vt. 扣留，拘押，耽搁
40,domineering,adj. 极权的， 作威作福的
41,draft,n. 草稿，草图，汇票，徵兵 vt. 起草，征兵，选秀 adj. 酝酿中的
42,embargo,n. 封港令，禁运，禁止（通商）
43,embezzlement,n. 盗用， 挪用， 侵占
44,empower,vt. 授与权力，增加自主权
45,enact,vt. 制定法律，扮演
