1,altitude,n. 高度，海拔，高地
2,avalanche,n. 雪崩
3,canyon,n. 峡谷
4,coast,n. 海岸，海滨，滑坡 vt. 沿海岸而行 vi. 下滑
5,deglaciation,n. 冰消作用(减冰川作用)
6,estuary,n. 河口， 江口
7,glacier,n. 冰河， 冰川
8,gorge,n. 峡谷，狭窄入口，饱食，咽喉，大量的食物 vt. 暴食， 贪婪地吞咽 vi. 狼吞虎咽， 大量地做...
9,iceberg,n. 冰山， 冷若冰山的人
10,innate,adj. 天生的，固有的
11,jungle,adj. 丛林的，蛮荒的 n. 丛林，密林
12,landscape,n. 风景，山水，风景画 v. 美化…的景观，进行造园工程
13,mirage,n. 海市蜃楼， 幻想
14,mountain,n. 山，山脉，大量
15,nature,n.自然，自然界，自然状态; 本性，天性，性质; 质; 性格; 性; 本质
16,panorama,n. 全景，全景画，全景照片，概观，一连串景象或事物
17,peak,n. 山顶，顶点，帽舌 vi. 到达高点，消瘦 vt. 使到达顶峰，竖起 adj. 处于顶峰状态的
18,plain,n. 平原，草原 adj. 简单的，平坦的，平常的，家常的 adj.纯的，不掺杂的
19,plateau,n. 高原;平稳;稳定状态 vi. 到达平稳阶段
20,range,n.范围； 射程； 类别； （山脉，房屋等的）排列 vi.搜索； 变化； 延伸； 漫游 vt.排列； （按一定位置或顺序）排序； 把…分类； 徘徊 adj.牧场的，放牧区的
21,scenery,n. 布景，风景，背景
22,scenic,adj. 风景好的， 戏剧性的
23,shrub,n. 灌木 n. 果汁甜酒
24,spectacle,n. 值得看的东西， 光景， 眼镜
25,tundra,n. 苔原， 冻土地带
26,valley,n. 山谷；流域；溪谷
27,watercourse,n. 水流(河床)
