1,anathema,n. 咒逐， 革出教门， 被咒逐的人(物) n. 令人极其讨厌的事
2,clan,n. 氏族， 宗族， 党派
3,community,n. 社区， 团体
4,connubial,adj. 结婚的， 夫妇的， 配偶的
5,convention,n.会议； 全体与会者； 国际公约； 惯例，习俗，规矩
6,emigration,n.移民出境，侨居，[总称]移民
7,ethics,n.偶尔，道德规范
8,hierarchy,n. 等级制度，层级[计]，统治集团
9,immigration,n. 移居， 移民
10,institutionalize,vt. 使...制度化(使...一成不变)
11,marital,adj. 婚姻的
12,marriage,n. 婚姻，结婚
13,matrimony,n. 结婚，婚姻生活，婚礼
14,metropolitan,n. 大都市的居民，大主教，母国的居民 adj. 大都市的，大主教区的，母国的
15,migration,n. 移民，移往，移动
16,mobility,n. 可动性， 变动性， 情感不定
17,patriarchic,adj. 家长的， 族长的
18,phenomenon,n. 现象， 非凡的人或事物
19,polygamous,adj. 一夫多妻的，一妻多夫的 adj. [植]雄雌混株的
20,rural,adj. 农村的
21,sociologist,n. 社会学家
22,sociology,n. 社会学， 社会关系学， 群落生态学
23,taboo,n. 禁忌，禁止接近，禁止使用 adj. 禁忌的 vt. 禁忌，禁制，禁止
24,tribe,n. 部落，种族，一伙人
25,urban,adj. 城市的
26,urbanization,n. 都市化， 城市化
