1,analects,n. 文选，语录
2,author,n. 作者，创造者 vt. 创造，写作
3,byword,n. 谚语，俗语，有代表性的人，绰号
4,circulation,n. 流通，循环，发行量，消息传播
5,classic,n. 古典作品，杰作，第一流艺术家 adj. 第一流的，最优秀的，古典的
6,column,n.纵队，列； 圆柱； 专栏
7,comedy,n. 喜剧，滑稽， 幽默事件
8,connoisseur,n. 鉴识家， 鉴定家， 内行
9,contemporary,n. 同时代的人；同时期的东西 adj. 当代的；同时代的；属于同一时期的
10,criticism,n. 批评，评论
11,diction,n. 措辞，发音
12,drama,n. 剧本，戏剧，戏剧性情节，刺激
13,editorial,n. 社论 adj. 编辑的
14,essay,n. 尝试，短文，论文 vt. 尝试
15,fable,n. 寓言
16,feature,n. 特征， 容貌 vt. 以...为特色 vi. 起重要作用
17,genre,n. 类型，流派
18,literature,n. 文学， 文献
19,literatus,文学界， 学者
20,mainstream,n. 主流
21,manuscript,adj. 手抄的 n. 手稿， 原稿
22,masterpiece,n. 杰作
23,nostalgia,n. 乡愁， 向往过去， 怀旧之情
24,playwright,n. 剧作家
25,preliterate,adj. 无文字记录的， 文字以前的
26,profound,adj. 极深的，深奥的，深厚的，严重的
27,renaissance,n. 文艺复兴，再生
28,satire,n. 讽刺文， 讽刺
29,tragedy,n. 悲剧， 惨事， 灾难
