1,amphibian,adj. 两栖类的， 水陆两用的 n. 两栖动物， 水陆两用飞机， 水陆两用车
2,aquatic,n. 水生动物， 水草 adj. 水生的， 水中的， 水上的
3,beast,n. 畜牲 n. 凶残的人， 令人厌憎的人
4,camouflage,v. 伪装， 欺瞒
5,carnivore,n. 食肉动物
6,carnivorous,adj. 食肉的，（植物）食虫的
7,chirp,n. 喳喳声， 唧唧声 v. 吱喳而鸣
8,coelenterate,n. 腔肠动物 adj. 腔肠动物的
9,domesticate,vt. 驯养， 使专注于家务， 教化 n. 家禽，(家养)植物
10,dormancy,n. 休眠，冬眠，潜伏
11,estivation,n. 夏眠
12,extinction,n.熄灭； 消灭，灭绝； 废除； [物]消光，自屏，衰减
13,fauna,n. （某地区或某时期的）所有动物
14,fertilize,vt.使肥沃； 使受孕； 施肥
15,finch,n. 雀类
16,flock,n. 一群，信众，软填料，短绒，棉絮，毛屑 vt. 塞填充料 vi. 成群而行，聚集
17,fowl,n. 禽，禽肉 v.猎捕野禽
18,graze,v. 放牧，（牛、羊等）吃草， v. 轻擦，蹭 n. 放牧 n. 擦伤
19,gregarious,adj.  群居的，爱社交的
20,habitat,n. (动植物的)产地，栖息地
21,hatch,n. 孵化，舱口 vt. 孵，孵出 vi. 孵化，破壳
22,herbivorous,adj. 食草的
23,herd,n. 兽群，人群，牧人 vt. 群集，使...成群，放牧 vi. 聚在一起
24,hibernation,n.过冬，冬眠，避寒
25,homotherm,n.=homoiotherm   恒温动物
26,horde,n. 群， 游牧部落， 移动群
27,insect,n. 昆虫
28,invertebrate,n.&amp;amp;adj. 无脊椎的(动物)
29,mammal,n. 哺乳动物
30,microbe,n. 微生物
31,migrate,v. 移动，移往，随季节而移居 [计算机] 迁移
32,mollusk,n. 软体动物
33,monster,n. 怪物，巨物，有威慑力的力量，恶人，超于常人的成功 adj. 巨大的，庞大的
34,nest,n. 巢， 窝 vt. 嵌入 vi. 筑巢
35,niche,n. 壁龛；合适的职业；商机，有利可图的市场(或形势等)； vt. 放入壁龛
36,offspring,n. 子孙， 后代， 产物
37,omnivorous,adj. 杂食的，涉猎广泛的
38,peck,v. 啄，啄食 n. 啄痕，啄食，轻吻 n. 配克，大量
39,poikilotherm,n. [动]变温动物， 冷血动物
40,predator,n. 食肉动物，掠夺者
41,predatory,adj. 掠夺的， 掠夺成性的， 捕食生物的
42,pregnant,adj. 怀孕的，意味深长的，含蓄的，富于想象力的
43,prey,n. 被掠食者，牺牲者 vi. 捕食，掠夺，使...苦恼
44,primate,n. 灵长目动物 n. (常大写)首席主教
45,regeneration,n. 再生， 重建
46,reproduce,v. 再生， 复制， 生殖
47,reptile,adj. 爬虫类的 n. 爬行动物
48,rodent,n. 啮齿动物 adj. 啮齿目的
49,scavenger,n. 清除剂(清道工，选池，基接受体)
50,spawn,n. 卵，产物，后代，结果 vt. 产卵，种菌丝于，产生，造成 vi. 产卵，大量生产
51,squeak,n. 吱吱声，逃脱 v.（发出）吱吱叫，侥幸通过 告密
52,swarm,vi. 挤满；成群浮游；云集 n. 蜂群；一大群 vt. 挤满；爬
53,torpor,n. 麻木， 无感觉， 不活泼
54,vertebrate,adj. 脊椎的，脊椎动物的 n. 脊椎动物
55,woodpecker,n. 啄木鸟
56,zoology,n. 动物学
