1,adherent,n. 信徒， 追随者， 拥护者 adj. 附着的， 粘连的
2,advocator,n.拥护者，提倡者
3,agent,n. 代理人，代理商；药剂；特工；动力 vt. 由…作中介；由…代理 adj. 代理的
4,alumnus,n. 男毕业生， 男校友
5,ambassador,n. 大使
6,apprentice,n. 学徒 v. 使当学徒
7,arbitrator,n. 仲裁人， 公断者
8,archeologist,n. 考古学家 =archaelogist
9,aristocrat,n. 贵族，有贵族气派的人，最优秀者
10,artisan,n. 工匠，技工
11,artist,n. 艺术家， 美术家， 艺人
12,assassin,n. 暗杀者， 刺客 Assassin:暗杀基督教十字军成员的穆斯林狂热派
13,assistant,adj. 助理的；辅助的。 n. 助手助理；助教，店员
14,astronomer,n. 天文学家
15,atheist,n. 无神论者
16,attendant,adj. 伴随的 n. 服务员， 侍从， 伴随物， 出席者
17,attorney,n. (辩护)律师
18,audience,n. 听众， 观众， 读者， 拥护者， 倾听， 正式会见
19,auditor,n. 听者， 收听者， 稽核员
20,autocrat,n. 独裁者
21,aviator,n. 飞行员
22,bandit,n. 强盗
23,barbarian,n. 野蛮人 adj. 野蛮的
24,believer,n. 信徒，相信者
25,benefactor,n. 恩人， 捐助者， 赠送者
26,beneficiary,n. 受惠者，受益人
27,biographer,n. 传记记者
28,botanist,n. 植物学家
29,burglar,n. 窃贼
30,candidate,n. 候选人， 求职者
31,chancellor,n. 英大臣(使馆秘书， 首相)
32,choreographer,n. 舞蹈指导
33,clergy,n. [总称]牧师， 神职人员
34,commander,n. 司令官， 指挥官
35,commentator,n. 注释者(注释者，解说员，新闻广播员)
36,congressman,n. 国会议员
37,connoisseur,n. 鉴识家， 鉴定家， 内行
38,conservative,adj. 保守的，守旧的 n. 保守派(党)，保守的人
39,consul,n. 领事，（古罗马）执行官员，（1799年至1804年间法国的）三名主要执政官之一
40,counsel,n. 商议， 忠告， 法律顾问 v. 商议， 劝告
41,coworker,n. 合作者
42,crew,n. 全体船员， 全体乘务员 vi. 一起工作
43,critic,n. 批评家， 评论家
44,dean,n. 系主任，学院院长 vi. 当系主任
45,delegate,n. 代表 vt. 派…为代表；委派 vi. 委派
46,democrat,n.民主主义者，民主人士； 民主党人； &lt;美&gt;民主党党员
47,deputy,adj. 代理的， 副的 n. 代表， 副手
48,dictator,n. 独裁者
49,director,n. 董事，经理，主管，指导者，导演
50,disciple,n. 弟子， 门徒
51,donor,n. 捐赠人 [计算机] 施主
52,ecologist,n. 生态学家
53,educator,n. 教育家，教育工作者
54,emperor,n. 皇帝
55,employee,n. 雇员
56,entrepreneur,n. 企业家
57,envoy,n. 外交使节， 特使
58,exile,n. 放逐，流放，被放逐者 vt. 放逐，流放
59,faculty,n.能力，才能； 全体教职员； &lt;英&gt;（大学的）专科，系； 特权，特许
60,fanatic,adj. 狂热的， 盲信的 n. 狂热， 狂热者， 盲信
61,feminist,n. 男女平等主义者，女权扩张论者 adj. 男女平等主义的，女权扩张论的
62,figurehead,n. 装饰船头的人像，破浪神，傀儡领袖
63,foe,n. 敌人，仇敌，反对物，有害物
64,general,n. 一般，将军，大体 adj. 一般的，普遍的 v. 指挥，作...将军
65,geographer,n. 地理学者
66,geologist,n. 地质学家
67,humanitarian,n. 人道主义者， 博爱者， 基督凡人论者 adj. 人道主义的， 博爱的， 相信基督为凡人的
68,inferior,adj. 次等的， 较低的， 不如的
69,inventor,n. 发明家，创造者
70,jury,n. [法] 陪审团；评判委员会 adj. 应急的
71,lawyer,n. 律师
72,lecturer,n. 演讲者， 讲师
73,malcontent,adj. 抱不平的，不满的，不服的 n. 不满现状的人
74,mathematician,n. 数学家
75,meteorologist,n. 气象学家
76,minister,n.大臣； 部长； 公使； 牧师 vi.辅助，服侍； 执行牧师职务
77,monarch,n. 帝王， 统治者， 元首/nn. 君王斑点蝶
78,mortal,adj.致命的； 不共戴天的； 终有一死的； 极度的 n.凡人，人类
79,novice,n. 新手，初学者
80,opponent,n. 对手， 敌手， 反对者 adj. 敌对的， 反对的
81,pilot,n. 飞行员，领航员，引航员 vt. 领航，驾驶，向导 adj. 引导的，示范的
82,playwright,n. 剧作家
83,president,n. (国家)总统，(公司)总裁，总经理，社长(日本)
84,principal,adj. 主要的 n. 负责人， 校长， 资本
85,professor,n. 宣称者，教授
86,proprietor,n. 所有人，业主，经营者
87,proxy,n. 代理，代理人，取代物 adj. 代理的
88,radical,n. 激进份子，原子团，激进派 adj. 急进的，根本的，激进的，基本的，彻底的
89,rebel,n. 叛徒，起义者 vi. 造反，反抗，反感 adj. 造反的，反抗的，反叛者的
90,representative,adj. 代表性的， 代议制的， 典型的 n. 代表， 众议员， 典型
91,republican,adj.共和国的； 共和政体的； 共和主义的； &lt;美&gt;共和党员 n.拥护共和政体者，共和主义者； &lt;美&gt;共和党的
92,resident,adj. 居住的 n. 居民，旅客
93,skeptic,n. 怀疑者， 怀疑论者， 无神论者
94,solicitor,n. 律师
95,spectator,n. 观众， 旁观者
96,staff,n.参谋； 全体职员； 管理人员； 权杖 adj.行政工作的； 参谋的； 职员的； 作为正式工作人员的 v.在…工作； 为…配备职员； 任职于
97,subordinate,n. 属下，附属物 adj. 下级的，次要的，附属的 vt. 使居下位，使服从，把...放在次要
98,superior,n. 上级，高手，上标 adj. 上层的，上好的，出众的，高傲的
99,zealot,n. 热心者， 狂热者 Zealot: 犹太教的狂热信徒
