1,antique,adj. 古代的 n. 古物， 古董
2,antiquity,n. 高龄， 古老， 古物， 古迹
3,archaic,adj. 已不通用的， 古老的， 古代的
4,archeology,n. 考古学，古物 =archaeology
5,artifact,n. 人工制品(制造物，石器)
6,chronological,adj. 按时间顺序的
7,disclosure,n. 揭发，败露
8,excavate,v. 挖掘， 挖开， 凿通
9,excavation,n. 挖掘， 发掘， 挖掘的洞，发掘物，遗迹
10,exhume,vt. 掘出(尸体以检验)，发掘
11,invaluable,adj. 无价的
12,medieval,adj. 中世纪的
13,mesolithic,n.中石器时代(旧石器时代与新石器时代之间的时代)
14,neolithic,adj. 新石器时代的
15,originate,vt. 发起 vi. 开始 [计算机] 起始
16,paleolithic,adj. 旧石器时代的
17,precious,adj. 宝贵的，珍贵的，矫揉造作的 adv. 极其地
18,prehistoric,adj. 史前的
19,primeval,adj. 原始的， 早期的， 远古的
20,primitive,adj. 原始的 n. 原始人，文艺复兴前的艺术家
21,primordial,adj. 原始的， 自原始时代的， 最初的
22,relic,n. 神圣的遗物， 遗迹， 纪念物
23,remainder,n. 剩余物， 其他的人， 残余 vt. 廉价出售 adj. 剩余的
24,remains,n. 残余；遗骸
25,remnant,adj. 剩余的 n. 残(剩)余
26,residue,n. 残渣，剩余，余数
27,scoop,n. 铲子， 舀取， 独家新闻， 一勺， 穴 vt. 汲取， 舀取， 抢先报道， 挖空
28,skull,n. 头骨，骷髅头 vt. 击打头部
29,trace,n. 痕迹，踪迹，微量 vt. 追踪，找出根源，描绘 vi. 追踪
30,unearth,vt. 发掘， 掘出，发现并披露
31,vestige,n. 遗迹， 退化的器官
