1,acupuncture,n. 针灸，针治 v. 施以针灸
2,acute,adj.尖的，锐的； 敏锐的，敏感的； 严重的，剧烈的； [医]急性的， 激烈的， 尖锐的
3,affection,n. 慈爱，爱，感情，作用，影响
4,ailment,n. 小病， 疾病
5,anatomy,n. 解剖学， 解剖学专著，分解，解剖，骨骸
6,anemia,n. 贫血， 贫血症
7,anesthesia,n. 麻醉， 麻木
8,appendicitis,n. 阑尾炎， 盲肠炎
9,arthritis,n. 关节炎
10,bandage,n. 绷带
11,bronchitis,n. 支气管炎
12,bruise,n. 瘀青， 擦伤， 挫伤 vi. 受伤，擦伤 vt. 使挫伤
13,catching,adj. 易传染的， 有魅力的， 迷人的 n. 捕捉 动词catch的现在分词形式
14,chilblain,n. 冻疮
15,chronical,adj.=chronic
16,clinic,n. 诊所，门诊部，科室
17,coma,n. 昏迷
18,contagion,n. 传染病，接触传染，蔓延
19,contagious,adj. 传染性的，会蔓延的，会传播的
20,corpse,n. 尸体
21,dentist,n. 牙科医生
22,diabetes,n. 糖尿病
23,diagnosis,n. 诊断
24,dissect,v. 解剖， 切细，仔细研究，详细分析
25,epidemic,n. 传染病， 流行病 adj. 流行的， 传染性的
26,fester,v. 溃烂， 生脓 n. 脓疮， 溃烂
27,forensic,adj. 法院的， 关于法庭的， 适合于辩论的
28,fracture,n. 破碎，骨折 vt. 破碎，破裂 vi. 断裂
29,fragile,adj. 易碎的，脆的，精细的
30,gynecologist,n.妇科医生
31,hygiene,adj. (hygienic) n. 卫生
32,incubation,n. 孵化；[病毒][医] 潜伏；抱蛋
33,indigestion,n. 消化不良
34,indisposition,n. 小病，不舒服，厌恶
35,infect,vt. 传染，感染
36,infectious,adj. 传染的
37,influenza,n. 流行性感冒
38,inject,v. 注射
39,intoxicate,vt. 下毒，使...陶醉 adj.
40,malady,n. 病， 疾病， 弊病
41,malnourished,adj. 营养不良的 动词malnourish的过去式和过去分词
42,malnutrition,n. 营养不良
43,morbid,adj. 病态的， 不正常的
44,neurologist,n. 神经病学家
45,nutrition,n. 营养
46,pediatrician,n. 小儿科医师，
47,physician,n. 内科医生
48,pneumonia,n. 肺炎
49,prescription,n. 药方， 对策， 开处方
50,psychiatrist,n. 精神病医师， 精神病学家
51,rabies,n. 狂犬病
52,relapse,n. 复旧， 故态复萌， 再发 v. 故态复萌， 再陷邪道， 再度堕落
53,remedy,n. 药物，治疗法，补救 vt. 治疗，补救，矫正
54,sanatorium,n. 疗养院， 休养所
55,sanitation,n. 环境卫生(卫生设备， 下水道设备)
56,smallpox,n. [医]天花
57,sterile,adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
58,surgeon,n. 外科医生
59,survive,vt. 比…活得长，幸免于难，艰难度过 vi. 活着， 继续存在
60,susceptible,n. 易受影响者，易受感染者 adj. 易受影响的，易感动的，容许
61,sustenance,n. 维持生计， 食物
62,symptom,n. 症状， 征兆
63,tingle,vi. 刺痛， 激动 n. 刺痛， 激动
64,transplant,vt. 移居， 移栽(植物)， 移植(器官) vi. 能经得住移植 n. 移植， 被移植的事物
65,treatment,n. 治疗，疗法，处理
66,ulcer,n.&amp;amp;adj. 溃疡
67,unconscious,adj. 失去知觉的
68,vaccinate,v. 预防接种
