1,abdicate,vt. 正式放弃（权利或责任等），让位 vi. （国王）退位，辞职
2,administer,vt. 管理，执行，给与 vi. 执行管理人职责，给与帮助
3,administration,n. 行政，管理，中央政府
4,affiliate,n. 联号(联播台，同伙)，附属机构，分公司 vt. &amp;vi. 合并(使...加入，追源)
5,alteration,n. 改变， 变更
6,amendment,n. 改善(正)，修正案，某物质能改善土壤有助生长
7,anarchism,n. 无政府主义
8,authoritative,adj. 权威性的， 命令式的
9,authority,n. 权威；权力；当局
10,authorize,v. 授权与，批准，委托代替
11,autonomy,n. 自治
12,ballot,n. 投票，投票用纸 vi. 投票
13,banish,vt. 驱逐，流放，消除
14,centralize,vt.集聚，集中，施行中央集权 vi.集中于中央(或中心)
15,coerce,vt. 强制，迫使，威胁
16,colonize,v. 开拓殖民地，殖民，移植
17,commission,n. 委任(状)， 任官令; 委员会 n. 佣金; 犯罪行为 vt. 委任， 委托; 使服役
18,committee,n. 委员会
19,confederacy,n. 同盟， 联邦，共谋 Confederacy：（美国南北战争时期的）南部邦联
20,confederate,n. 同盟者， 同盟国，同伙 Confederate：美国南部联盟 adj. 同盟的， 联合的 v. （使)结盟，（使)联合
21,confer,vi. 商讨 vt. 赠予，授予
22,congress,n. 国会；代表大会；会议；社交
23,consult,v. 商讨，向...请教，查阅
24,contrive,vt. 1. (不顾困难地)促成某事2. 巧妙地策划；精巧地制造（如机器） vi. 1. (不顾困难而) 设法做到(正式)
25,democracy,n. 民主，民主制，民主国家
26,deport,vt. 驱逐出境，举止
27,dictatorial,adj. 独裁的，专政的
28,dictatorship,n. 独裁（权），专政
29,diplomacy,n. 外交
30,diplomatic,adj. 外交的，古字体的，老练的
31,dispensation,n. 分配， 施与，分配物， [宗]特许，豁免
32,doctrine,n. 教义，主义，学说;[古]教学，指导，指令指示;军事战略
33,dogma,n. 教条，信条
34,domain,n. 领域 [计算机] 域
35,domestic,adj. 国内的， 家庭的， 驯养的 n. 家仆， 佣人
36,dominate,v. 支配， 占优势，俯视
37,dominion,n. 领土， 主权，统治 (复）dominions：天使阶级 Domimion： n. 英联邦的自治领
38,election,n. 选举
39,embargo,n. 封港令，禁运，禁止（通商）
40,empower,vt. 授与权力，增加自主权
41,enslave,vt. 使做奴隶， 使处于奴役的状态
42,entitle,v. 取名为，给与名称，叫做，使有权利
43,evict,v.驱逐 v.依法收回（财产等）
44,exile,n. 放逐，流放，被放逐者 vt. 放逐，流放
45,exploit,n. 功绩，勋绩 vt.&amp;vi. 开发，利用，开拓
46,factious,adj. 好搞派系的， 好捣乱的
47,federal,adj. 联邦的 n. 同盟盟友
48,hustle,n. 急遽活动， 拥挤喧嚷 v. 乱挤活动， 慌张
49,ideology,n. 观念学， 空论， 意识形态
50,ignominy,n. (尤指公开的)羞耻， 屈辱
51,impel,v. 驱使， 逼迫
52,inaugurate,v. 举行就职典礼，举行仪式 v. 开始，开创
53,indignity,n. 侮辱，轻蔑
54,inspect,vt. 调查， 检阅 vi. 调查
55,institute,n. 学会，学院，协会 vt. 创立，开始，制定
56,kingdom,n. 王国，领域，界 Kingdom：天国
57,league,n. 联盟，社团
58,maneuver,n. 演习，调遣，策略 vt. 调遣，演习，巧妙地操纵 vi. 调遣，演习，用计策
59,manipulate,v. 操纵，利用，假造 [计算机] 操作
60,mayhem,n. [法]重伤罪， 故意的伤害罪，有意的破坏或暴行
61,monarchy,n. 君主政体， 君主国， 君主政治
62,municipal,adj. 市的，市政的 n. 政府证券
63,ostracism,n. 流放， 放逐， 排斥
64,oust,v. 逐出， 夺取
65,parade,n. 游行，阅兵，轮替， 夸耀， 广场 vi. 参加游行， 阅兵， 散步， 炫耀 vt. 使参加游行， 校阅， 绕行， 夸耀
66,partisan,adj. 效忠的， 献身的， 盲目推崇的，党派性的 n. 党羽， 同党的人， 游击队员
67,petition,n. 祈求，请愿书，诉状 vi. 请愿，祈求 vt. 向...请愿或祈求
68,privilege,n. 特权，特别恩典，基本人权，荣幸 vt. 给特权，免除
69,procession,n.队伍，行列； 一列，一排； 列队行进
70,realm,n. 王国，领域
71,regime,n. 政权，政体；社会制度；管理体制
72,rejection,n. 拒绝， 被弃， 被抛弃的实例
73,relinquish,v. 放弃，放手，让渡
74,sanction,n. 核准，处罚，约束力 v. 制定制裁规则，认许，核准
75,scandal,n. 丑闻，中伤，反感，耻辱
76,scrutinize,n. 详细检查， 细读 v. 仔细检查 vt. 细察
77,self-government,n. 自制，自治
78,senate,n. 参议院，上议院
79,sovereign,n. 元首，金镑 adj. 具有主权的，至高无上的，极好的，完全的
80,strike,n. 罢工， 打击， 殴打 v. 打， 撞， 罢工， 划燃
81,territory,n. 领土， 版图， 领域， 范围
82,unconventional,adj. 非传统的
83,veto,n. 否决权 v. 否决 vi. 否决， 禁止 vt. 使用否决权
84,vote,v.投票，选举； 提议； 投票表决； 公认，由舆论决定 n.投票，表决； 投票数； 投票权； 决议
85,warrant,n. 正当理由，根据，委任状，准许 vt. 保证，辩解，担保， 授权
86,welfare,n. 福利，社会保障，幸福 adj. 福利的
