1,Macroeconomics,n. 宏观经济学
2,Microeconomics,n. 微观经济学
3,NASDAQ,abbr. 全国证券交易商自动报价系统协会(=National Association of Securities Dealers Automated Quotations)
4,abundance,n. 丰富，充裕
5,account,n.账，账目； 存款； 记述，报告； 理由 vi.解释； 导致； 报账 vt.认为； 把…视作
6,acquisition,n.获得； 购置物； 获得物； 收购
7,affluence,n. 富裕
8,aggregate,n. 合计， 总计， 集合体 adj. 合计的， 集合的， 聚合的 v. 聚集， 集合， 合计
9,allocation,n. 配置， 分配， 安置
10,appreciation,n. 赏识， 鉴识， 感激
11,asymmetric,adj. 不对称的
12,bankruptcy,n. 破产
13,benefaction,n. 捐助， 施舍，慈善行为
14,brand,n. 燃烧的木条，剑，商标，牌子，烙印，类型 vt. 打烙印，污蔑，铭记
15,budget,n. 预算 vt. 编预算，为…做预算 vi. 节省开支 adj. 不贵的，廉价的
16,capital,n. 首都，资本，大写字母 adj. 大写的，资本的，首要的
17,collateral,adj. 并行的，附随的，旁系的 n. 支亲，副保，附属担保物
18,commerce,n. 商业， 贸易
19,commission,n. 委任(状)， 任官令; 委员会 n. 佣金; 犯罪行为 vt. 委任， 委托; 使服役
20,commodity,n. 商品， 日用品
21,compensate,vt. &amp;vi. 偿还，补偿，付报酬
22,consume,vt.  消耗，毁灭，吃，喝， 挥霍 vi. 耗尽生命， 被烧毁
23,copyright,adj. 版权(的) n. 版权，著作权
24,currency,n. 货币; 流通
25,dearth,n. 缺乏， 粮食不足， 饥谨
26,deflation,n. 通货紧缩 n. 放气
27,demand,n. 要求; 需求 v. 要求， 查问; 需要
28,denomination,n. 名称，教派，面额
29,depreciation,n. 价值减低，减价，跌落 [计算机] 折旧
30,depression,n. 沮丧，萧条
31,deprivation,n. 剥夺， 剥夺官职， 免职
32,discount,n. 折扣， 贴现率 vt. 打折扣， 贴现， 不重视，不全信 vi. 贴现， 减息贷款
33,distortion,n. 扭曲， 变形， 曲解
34,distribution,n. 分发， 分配， 散布， 分布
35,durability,n.经久，耐久力
36,efficiency,n. 效率；效能；功效
37,enterprise,n. 企业，企划，进取心
38,entrepreneur,n. 企业家
39,equilibrium,n. 平衡，均衡
40,expenditure,n. (时间、劳力、金钱等)支出，使用，消耗
41,externality,n. 外表，外在性，外部的事物
42,factor,n. 因素，因子 vt. 把…因素包括进去 vi.作为因素
43,financial,adj. 金融的，财政的
44,fiscal,adj. 财政的，国库的
45,fluctuate,vi. 变动， 上下， 动摇 vt. 使动摇
46,function,n. 功能， 函数， 重大聚会 vi. 运行， 起作用
47,hyperinflation,n. 恶性通货膨胀
48,incentive,adj. 刺激的， 鼓励的 n. 刺激， 鼓励， 动机
49,index,n.索引； &lt;数&gt;指数； 指示； 标志 vt.给…编索引； 把…编入索引； [经济学]按生活指数调整（工资、价格等） vi.[机械学]转位
50,industrialization,n. 工业化
51,inflation,n. 膨胀，通货膨胀
52,insurance,n. 保险
53,interest,n. 兴趣， 嗜好， 利息; 股份 vt. 使...感兴趣
54,inventory,n. 详细目录， 存货(清单)  vt. 编制(详细目录)
55,investment,n. 投资，投入，投资额
56,merchandise,n. 商品，货物 vt. &amp;vi. 经营，推销， 销售， 经商
57,merge,vt. &amp;vi. 合并，消失，吞没， 融合 [计算机] 合并
58,monetary,adj. 货币的，金融的
59,nominal,adj. 名义上的，有名无实的，名词性的 n. 名词词组
60,patronage,n. 赞助， 光顾， 任免权
61,paucity,n. 少数，少量，缺乏
62,payment,n. 支付， 付款
63,plethora,n. 过量， 多血症
64,poverty,n. 贫穷，贫困
65,predictability,n.可预言
66,privatize,vt. 使归私有，使私人化
67,production,n. 生产，产品，产量，作品，成果
68,profitability,n. 收益性，盈利能力
69,prosperity,n. 繁荣，兴旺
70,purchase,n. 购买， 购买的物品 n. 支点; 紧握， 抓紧 vt. 购买， 赢得; (用设备)举起， 移动
71,quota,n. 配额，限额，最低票数
72,ransom,n. 赎金， 赎身， 赎回
73,refund,n. 偿还 vt. 付还，偿还借款，换回新公债
74,reimburse,vt. 偿还，报销
75,reserve,n. 预备品， 贮存， 候补 n. 克制， 含蓄 vt. 保留， 预订， 延期
76,rigidity,n. 硬， 硬度，刻板
77,saving,n. 节约，挽救 （复数)savings:储蓄金，存款 prep. 除...之外 conj. 除了，除去 save的现在分词
78,scarcity,n. 缺乏，不足，缺少
79,share,n. 部份，股份，分担，犁头 vt. 分享，共有，分配 vi. 分享
80,sponsorship,n. 发起(主办， 倡议， 赞助)
81,stagger,n. 蹒跚，踌躇，摇摆不定 vi. 蹒跚，犹豫，动摇 vt. 使摇晃，使吃惊，使犹豫 vt. 使交错，错开时间
82,stock,n.股份，股票； 库存； 树干； 家畜 adj.常备的，存货的； 陈旧的 vt.提供货物； 备有 vi.出新芽； 囤积
83,supply,n. 补给，供给，供应，贮备 vt. 补给，供给，提供，提供足够以满足
84,surplus,adj. 多余的，过剩的 n. 过剩，剩余物，盈余，顺差
85,tariff,n. 关税， 价目表 vt. 交关税
86,taxation,n. 课税， 征税， 税金
87,textile,adj. 纺织的 n. 纺织品
88,trademark,n. 商标
89,transaction,n. 交易，处理，办理
90,unemployment,n. 失业，失业人数
91,welfare,n. 福利，社会保障，幸福 adj. 福利的
