1,armada,n. 舰队，机群，（车辆）编队
2,armament,n. 军备， 武器， 备战
3,assault,n. 攻击， 突袭 vt. 袭击， 突袭
4,besiege,vt. 围攻， 包围
5,blockade,n. 阻塞，封锁，阻碍物 v. 封锁，挡住
6,campaign,n. 战役; 运动， 活动 vt. 参加竞赛 vi. (从事， 组织)活动
7,cannon,n. 大炮 vi. 开炮
8,captivate,v. 迷住， 迷惑
9,classified,adj. 分类的， 类别的， 被指定为机密的 v. 分类， 分等级 vbl. 分类， 分等级
10,collision,n. 碰撞， 冲突
11,confidential,adj. 机密的，获他人信赖的，易于信任他人的
12,debris,n. 碎片， 残骸
13,defense,n. 防卫， 防卫物， 辩护 vt. 防守
14,demolish,v. 毁， 破坏， 粉碎
15,destruction,n. 破坏，毁灭，破坏者
16,diplomacy,n. 外交
17,disarm,v. 解除武装， 回复平常的编制， 缓和
18,disarming,adj. 消除敌意的，解除疑虑的 动词disarm的现在分词形式
19,encircle,v. 环绕，包围 vt. 包围，环绕
20,encroach,v. 侵占，蚕食 vi. 侵占，侵犯，侵害 vt. 侵犯
21,enlist,v. 徵募， 参与， 支持
22,envelop,v. 包封， 遮盖， 包围
23,expedition,n. 远征，探险队，迅速
24,exterminate,vt. 扑灭， 消灭， 根绝
25,fleet,n. 船队，舰队，团队 vt. &amp;vi. 飞过，掠过 adj. 跑得快的
26,flotilla,n. 小型舰队
27,fortress,n. 堡垒， 要塞， 防御工事
28,insurrection,n. 叛乱，暴动，作乱
29,invade,vt. 侵略，侵害，拥入
30,martial,adj. 军事的， 战争的
31,military,adj. 军事的 n. 军队
32,mission,n. 任务，代表团，使命，传教 vt. 传教 [计算机] 使命
33,morale,n. 道德准则，士气，斗志
34,mutiny,n. 兵变， 反抗 vi. 叛变
35,navy,n. 海军，船队，深蓝色
36,neutralize,v. 使中立， 使成中立地带， 中和
37,offense,n. 犯罪， 伤感情， 攻击， 得分率
38,onslaught,n. 突击， 猛击， 猛攻
39,radar,n. 雷达
40,rebellion,n. 谋反， 叛乱， 反抗
41,rebuff,n. 断然拒绝，严厉拒绝，漠不关心 v. 严厉拒绝
42,repulse,n. 击退， 拒绝 vt. 逐退， 击退， 拒绝
43,revolt,n. 叛乱，反抗，反感 vi. 叛乱，起反感 vt. 使...恶心
44,revolution,n. 革命， 旋转， 转数
45,riot,v.&amp;amp;n. 骚乱，闹事 vi. 闹事，骚乱
46,rivalry,n. 敌对，竞争，对抗
47,strategy,n. 战略， 策略
48,trespass,n. 非法侵入，罪过，[法]侵害诉讼 v. 非法侵入，侵害，冒犯；客气话〕叨扰，打扰，妨碍 (on; upon).
49,warfare,n. 战争，冲突
50,weapon,n. 武器， 兵器
51,wreck,n. 失事，残骸，破坏，健康受损的人 vt. 破坏，造成...失事 vi. 失事，营救失事物
