1,anthology,n. 诗选， 文选
2,architecture,n. 建筑学， 建筑业， 建筑物， 结构  [总称]建筑物， 建筑风格
3,baroque,adj. 巴洛克式的  n. 巴洛克式，巴洛克风格
4,biography,n. 传记
5,bronze,adj. 青铜色的 n. 青铜， 青铜色， 青铜制品， 铜牌(第三名) vt. 使成青铜色
6,byzantine,adj.东罗马帝国的，拜占庭式的 n.拜占庭人，拜占庭派的建筑师，画家
7,caricature,n. 讽刺画， 漫画， 讽刺描述法，笨拙的模仿 v. 画成漫画， 讽刺，使滑稽化
8,classicism,n. 古典主义，古典风格
9,collection,n. 收藏品，收集物，小组，集合
10,comedy,n. 喜剧，滑稽， 幽默事件
11,criticism,n. 批评，评论
12,drama,n. 剧本，戏剧，戏剧性情节，刺激
13,easel,n. 画架
14,eloquence,n. 雄辩， 口才
15,episode,n. 插曲，插话，(作品的一段)情节，有趣的事件
16,essay,n. 尝试，短文，论文 vt. 尝试
17,exhibition,n. 展览，展览会
18,folklore,n. 民俗学， 民间风俗， 民间传说
19,gallery,n. 美术馆， 画廊， 顶层楼座， 狭长的房间
20,impressionism,n. 印象派，印象主义
21,improvisation,n. 即兴而作， 即席演奏， 即席创作
22,inspiration,n. 灵感，吸入，鼓舞人心(的东西)
23,literature,n. 文学， 文献
24,masterpiece,n. 杰作
25,pigment,n. 色素， 颜料 v. 把...加颜色， 变色
26,playwright,n. 剧作家
27,portrait,n. 肖像，画像 adj. (文件页面)竖的
28,purism,n.纯粹主义(指在语言，艺术等方面过于严格遵守传统规范)，纯粹派(法国20世纪初的一个艺术流派)
29,rococo,n. 洛可可艺术 adj. 洛可可式的， 过分精巧繁杂的
30,sculpture,n. 雕塑 vt. 雕刻，雕塑 vi. 当雕刻师
31,surrealism,n. 超现实主义
32,tragedy,n. 悲剧， 惨事， 灾难
33,volume,n. 体积， 容量， 音量 n. 卷， 册
