1,ablaze,adj. 着火的；闪耀的；激昂的 adv. 着火；闪耀
2,brighten,vt. 使变亮， 使生辉 vi. 发光，发亮
3,burnish,n. 光泽 v. 擦亮，磨光 vt. 磨，抛光
4,dazzling,adj. 眼花撩乱的， 耀眼的
5,flare,n. 闪光， 闪耀， [天]耀斑 v. 闪光， 闪耀
6,flicker,n. 闪烁， 闪光， 颤动 v. 闪动， 闪烁， 摇动
7,glaring,adj. 耀眼的， 炫目的， 怒视的 动词glare的现在分词
8,glaze,v. 装以玻璃， 上釉， 变得光滑，变呆滞 n. 釉， 覆罩的一层
9,gleam,n. 微弱的闪光， 瞬息的一现 v. 闪烁， 隐约地闪现
10,glossy,adj. 光滑的， 有光泽的
11,illuminate,vt. 照明，阐释，说明
12,luminous,adj. 发光的， 发亮的，清楚的，明白易懂的
13,luster,n. 光彩， 荣誉， 光泽 vt. 使...发光辉  vi. 有光泽， 发亮
14,twinkle,n. 闪烁，闪耀，眨眼，瞬息 v. 闪烁，使...闪耀，眨眼，迅速移动
