1,attribute,n. 属性， 特征; 标志， 象征 vt. 归于， 属于
2,crude,adj. 粗鲁的，简陋的，天然的，未加工的 n. 原油
3,entitative,adj.实体的，本质的
4,essence,n. 本质，精髓，要素，香精
5,essential,adj.基本的； 必要的； 本质的； 精华的 n.必需品； 基本要素； 必不可少的东西
6,fundamental,adj. 基本的，根本的，重要的 n. 基本原理，基础
7,inborn,adj. 天生的， 生来的， 生成的
8,indigenous,adj. 该土地所固有的，土著的，国产的
9,inherent,adj. 内在的， 固有的
10,inherently,adv.天性地，固有地
11,inherited,adj.通过继承得到的，遗传的 继承权的
12,innate,adj. 天生的，固有的
13,instinctive,adj. 本能的， 天性的，直觉的
14,interior,adj. 内部的，内地的，国内的，在内的 n. 内部
15,internal,adj. 国内的， 内在的，身体内部的
16,intrinsic,adj. 固有的， 内在的
17,radical,n. 激进份子，原子团，激进派 adj. 急进的，根本的，激进的，基本的，彻底的
18,radically,adv. 根本地， 完全地，过激地
19,rudimentary,adj. 基本的(初步的， 起码的， 根本的)
20,spontaneous,adj. 自发的， 自然产生的
21,substantive,adj. 独立的，真实的，持久的，本质的，名词性的，大量的，规定义务与责任的，实质的 n. 作名词用的词或词组
