1,accommodate,vi. 使自己适应 vt. 使一致，和解；提供方便；容纳；顾及
2,besides,prep. 除...之外 adj. 别的 adv. 也，此外
3,bound,n. 跳跃，界限，范围 adj. 必定的，受约束的，装订的，有义务的 vt. 跳跃前进，形成界限
4,compose,vt. 组成， 写作， 作曲， 使镇静 vi. 创作
5,comprise,vt. 包含，构成
6,confine,vt. 限制，闭居  n. 边界， 约束， 范围， 限制
7,consist,n. 组成 vi. 组成，存在，一致
8,content,n. 内容， 目录， 含量 adj. 满足的， 满意的 vt. 使...满足， 使...安心
9,cover,n. 封面， 盖子， 表面 v. 覆盖， 涉及， 包含
10,digress,v. 走向岔道， 离开本题， 扯到枝节上
11,embody,vt. 代表， 使具体化， 包含，使(精神)肉体化
12,exception,n. 除外，例外
13,exceptional,adj. 例外的，异常的，特别的
14,exclude,vt. 除外，排除，拒绝 [计算机] 排除
15,exclusion,n. 排除，除外，逐出
16,exclusive,adj. 独占的， 唯一的， 排外的; 高价的， 时髦的 [计算机] 互斥的 n. 独家新闻， 独权
17,extension,n. 延长，扩充，范围，分机号码
18,external,n. 外部 adj. 外部的，外用的，客观的，表面的
19,extra,adj. 额外的 adv. 特别地 n. 额外的事物，另外收费的
20,extraneous,adj. 外来的， 无关的
21,impertinent,adj. 鲁莽的， 无礼的， 粗鲁的
22,include,v. 包括，包含，连...在内 [计算机] 包括
23,irrelevant,adj. 不恰当的，无关系的，不相干的
24,preclude,vt. 排除；妨碍；阻止
25,save,vt.节省； 保存； 储蓄； 解救 vi.节省； 挽救； 救球 prep.&amp;conj.除…之外 n.救援，救援
26,scope,n. 能力，范围，眼界，机会，余地 vt. 仔细研究
27,span,n.共轭（马、骡）； 跨度，墩距； 一段时间； [航] 跨绳 vt.缚住或扎牢； 跨越时间或空间； 以掌测量； 以手围绕测量类似测量
28,spectrum,n. 光谱， （比喻）范围， 系列
