1,ability,n. 才能， 能力
2,aptitude,n. 才能，资质
3,caliber,n. 口径，才干，器量
4,capable,adj. 有能力的，足以胜任的， 有...倾向的
5,competence,n. 能力，管辖权，技能
6,disposition,n. 性情，倾向，安排， 处置， 控制 [计算机] 配置情况
7,fortitude,n. 刚毅， 坚毅， 不屈不挠
8,knack,n. 熟练技术， 巧妙的手法， 诀窍
9,leadership,n. 领导， 领导才干
10,power,n. 力量， 权力，电力 vt. 供电，激励，全速前进 adj. 与力量有关的，与权力有关的，电力控制的
11,propensity,n. 倾向，习性
12,quality,n. 品质， 特质， 才能 adj. 高品质的
13,resourceful,adj. 资源(人力、物力)丰富的; 有机智的; 多策略的，足智多谋的
14,stamina,n. 持久力;耐力;毅力
15,talent,n. 才能， 人才， 天资
16,temperament,n. 气质， 性质， 性情
17,versatile,adj. 多才多艺的，多方面的，通用的，
18,vigor,n. 活力， 精力
