1,beaming,adj.照耀的，光亮的，喜气洋洋的，愉快的
2,blessed,adj. 受祝福的，神圣的 动词bless的过去式和过去分词
3,bliss,n. 福佑， 天赐的福
4,blithesome,adj. 愉快的， 高兴的
5,brighten,vt. 使变亮， 使生辉 vi. 发光，发亮
6,delight,n. 快乐，高兴 vi. 给与乐趣，使高兴 vt. 使高兴
7,ecstasy,n. 狂喜
8,elation,n. 得意洋洋， 兴高采烈
9,enrapture,vt. 使狂喜，使出神
10,exalted,adj. 尊贵的， 高位的， 高尚的 动词exalt的过去式和过去分词
11,excitement,n. 激动， 兴奋
12,exhilaration,n. 高兴， 兴奋
13,exultant,adj. 非常高兴的， 欢腾的
14,gleeful,adj. 愉快的
15,hilarious,adj.欢闹的； 非常滑稽的； 令人捧腹的； 喜不自禁的
16,joyous,adj. 充满快乐的， 使人高兴的
17,pleasing,adj. 令人喜爱的，愉快的，舒适的 vbl. 取悦，期望，请
18,rapture,n. 狂喜 vt. 使狂喜
19,ravish,v. 抢夺，使…狂喜，强奸
