1,crisis,n. 危急关头，危机
2,critical,adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
3,deleterious,adj. 有害的， 有毒的
4,detriment,n. 损伤，引起损害的物质
5,detrimental,adj. 有害的 n. 有害的人或事
6,endanger,vt. 危及，危害
7,grave,adj.重大的，重要的； 严重的； [音乐]沉重的； （颜色等）朴素的 adv.沉重地，庄重地； 极慢地 n.坟墓，墓穴； 埋葬…的地方； 下场； 死亡 vt.雕刻； 铭记
8,harmful,adj. 有害的
9,hazard,n. 冒险，危险，危害 v. 冒...的危险，赌运气
10,hazardous,adj. 危险的，冒险的，碰运气的
11,impair,vt. 损害，削弱 [计算机] 损伤
12,imperil,vt. 使陷于危险中， 危及
13,jeopardy,n. 危险
14,maim,vt. 使残废， 使不能工作， 使伤残 n. 伤残，残废
15,peril,n. 危险，冒险 vt. 置...于险境，冒险
16,perilous,adj. 危险的，冒险的
17,prejudice,n. 偏见，成见，伤害 v. 使...存偏见，使...有成见，伤害
18,ruinous,adj. 破坏性的， 招致毁减的， 零落的
19,threaten,vt. &amp;vi. 威胁，构成威胁
20,vulnerability,n.弱点，攻击
