1,abundant,adj. 丰富的，充裕的
2,ample,adj. 充足的，丰富的，宽敞的
3,copious,adj. 丰富的， 大量的，(指作家)多产的
4,excessive,adj. 过多的，过分的
5,lavish,adj. 大方的，丰富的，浪费的 vt. 浪费，慷慨给予
6,massive,adj. 巨大的， 大规模的， 大量的， 大范围的
7,miscellaneous,adj. 各种的，多方面的，性质混杂的 [计算机] 杂的 n. 杂货，杂项 [合同法律用语]其他约定
8,multitude,n. 多数， 群众
9,numerous,adj. 为数众多的，许多
10,plenteous,adj. 许多的， 丰饶的， 丰富的
11,plentiful,adj. 丰富的， 多的，充裕的
12,plethora,n. 过量， 多血症
13,profuse,adj. 很多的， 丰富的，浪费的
14,prolific,adj. 多产的， 作品丰富的
15,rimption,n.多数，大量
16,swarm,vi. 挤满；成群浮游；云集 n. 蜂群；一大群 vt. 挤满；爬
17,teeming,adj. 丰富的，充满的 动词teem的现在分词形式
