1,Titanic,n. 泰坦尼克（船名） adj. 巨大的；四价钛的
2,broad,adj.宽阔的； 广泛的； 概括的； 明显的 n.婆娘
3,capacious,adj. 容量大的， 广阔的， 宽敞的
4,colossal,adj. 巨大的，异常的
5,commodious,adj. 宽敞的
6,enormous,adj. 巨大的， 庞大的
7,expansive,adj. 易膨胀的， 易扩张的
8,gargantuan,adj. 巨大的， 庞大的
9,gigantic,adj. 巨大的
10,immeasurable,adj. 不可计量的， 无限的
11,immense,adj. 巨大的，广大的，非常好的
12,incalculable,adj. 不可数的， 无数的，无法预料的
13,loose,n. 解放， 放任， 放纵 adj. 宽松的， 不牢固的， 不精确的 v. 释放， 放枪， 开船
14,magnitude,n.巨大，广大； 重大，重要； 量级； （地震）级数
15,mammoth,n. 长毛象 adj. 长毛象似的， 巨大的
16,massive,adj. 巨大的， 大规模的， 大量的， 大范围的
17,mighty,adj. 强有力的，极度的 adv. 很
18,monstrous,adj. 畸形的， 怪异的，巨大的
19,prodigious,adj. 巨大的，奇异的 n. 奇迹
20,roomy,adj. 广阔的， 宽敞的
21,sizeable,adj. 相当大的 =sizable
22,spacious,adj. 广阔的， 宽敞的
23,tremendous,adj. 巨大的， 惊人的
24,vast,adj. 广阔的，巨大的 n. 浩瀚的太空
25,voluminous,adj. 卷数多的， 大量的， 著书多的
