1,distinct,adj. (from)独特的，不同的，明显的，清楚的
2,dramatic,adj. 戏剧性的，引人注目的，给人深刻印象的
3,emphatic,adj. 语调强的， 用力的， 强调了的
4,especially,adv. 特别，尤其
5,imposing,adj. 令人难忘的， 壮丽的 vbl. 强迫， 利用
6,impressive,adj. 给人深刻印象的
7,marked,adj. 有记号的，显著的，醒目的 v. 作记号，打分数，表示 vbl. 作记号，打分数，表示
8,notable,adj. 显著的， 著名的 n. 名人
9,noteworthy,adj. 值得注意的
10,obvious,adj. 明显的，显而易见的
11,outstanding,adj. 突出的， 显著的， 未支付的
12,palpable,adj. 明显的，易觉察的
13,prominent,adj. 杰出的，显著的，突出的
14,pronounced,adj. 显著的，断然的，明确的 pronounce的过去式和过去分词
15,remarkable,adj. 显著的， 异常的， 非凡的， 值得注意的
16,sharp,adj. 刺耳的，锋利的，急剧的 adv. [时刻]正，准 夏普(财富500强公司之一，总部所在地日本，主要经营电子电气)
17,significant,adj. 有意义的， 意味深长的; 相当数量的; 重要的， 重大的 n. (复)有意义的事物; 标志
