1,absolute,adj. 绝对的，完全的，无限制的，独立的，专制的 n. 绝对的事物
2,barely,adv. 少量地，几乎不地，勉强
3,burning,adj. 燃的，烧的，像燃烧一样的 n. 烧，燃烧
4,categorical,adj. 无条件的，绝对的
5,clean,adj. 干净的， 正当的， 纯洁的， 完全的， 精准的， 空的 adv. 完全地 n. 清洁 vt. &amp;vi. 打扫，清扫
6,complete,adj. 彻底的， 完整的， 已完成的 vt. 完成; 使圆满， 使完美
7,considerable,adj. 相当大的，可观的，重要的
8,dead,adj. 死的，萧条的，精疲力竭的，用完的，无趣的 adv. 完全地，突然地，直接地 n. 死者，死
9,drastic,adj. 激烈的，猛烈的，极其严重的
10,entirely,adv. 完全地
11,exorbitant,adj. (价格等)过高的，不合法的
12,extremely,adv. 极其， 非常
13,fairly,adj. 公平地， 相当 adv. 相当地
14,fervent,adj. 热的， 炎热的， 热心的
15,grossly,adv. 非常， 很， 粗
16,hardly,adv. 几乎不
17,impetuous,adj. 冲动的， 猛烈的， 轻率的
18,inordinate,adj. 过度的， 非常的， 无法无天的
19,intense,adj. 非常的，强烈的，紧张的，热情的
20,intensive,adj. 强烈的， 密集的， 精细的， 强调的 n. (语法)强调成份
21,nearly,adv. 几乎， 差不多
22,probable,adj. 很可能的 n. 很可能的事
23,profoundly,adj. 深深地，深远地，非常地 adv. 深深地
24,radical,n. 激进份子，原子团，激进派 adj. 急进的，根本的，激进的，基本的，彻底的
25,rough,adj.粗糙的，崎岖不平的； 粗鲁的； 狂暴的，汹涌的； 未经加工的 vt.粗暴地对待； 使粗糙； 草拟 n.粗糙的部分； 艰难，苦难； （高尔夫球场的）深草区 adv.粗暴地 vi.举止粗野
26,roughly,adv. 概略地，粗糙地，粗鲁地
27,sharp,adj. 刺耳的，锋利的，急剧的 adv. [时刻]正，准 夏普(财富500强公司之一，总部所在地日本，主要经营电子电气)
28,somewhat,adv.稍微； 有点； 达到某种程度 n.少量； 某些数量； 某种程度
29,substantial,n. 重要部份， 本质 adj. 大量的， 实质上的， 有内容的
30,utterly,adv. 完全， 全然， 绝对
31,vehemence,n. 热烈
32,vehement,adj. 激烈的， 猛烈的
33,violent,adj. 暴力的，猛烈的，极端的，曲解的
34,virtually,adv. 几乎，实际上
