1,attaint,vt. 宣告剥夺私权， 损坏，玷污，控告 n. 私权丧失， 污点， 耻辱
2,blemish,n. 污点， 缺点 v. 弄脏， 污损， 损害
3,blotch,n. (皮肤上的)红斑点， (墨水等)斑点 vt. 标上斑点，弄脏
4,defile,vt. 弄脏， 污损，败坏，玷污  vi. 以纵队前进 n. (山间)小道， 狭谷
5,dinginess,n.暗淡，肮脏
6,dingy,adj. 昏暗的；肮脏的
7,filth,n. 污秽(肮脏的)
8,filthy,adj. 污秽的， 丑恶的
9,frowzy,adj.霉臭的； 闷热的； 不整洁的； 肮脏的
10,grimy,adj. 污秽的， 肮脏的
11,impure,adj. 不纯的， 肮脏的
12,indecent,adj. 下流的， 不妥当的
13,messy,adj. 散乱的， 污秽的， 麻烦的
14,obscene,adj. 淫秽的， 猥亵的
15,slovenly,adj. 不修边幅的，邋遢的 adv. 不修边幅地，邋遢地
16,smear,v. 涂，擦上，抹擦使变模糊 n.油迹，污点；诋毁，诽谤；（医）涂片标本
17,smirch,n. 污点 vt. 玷污
18,smudge,n. 污点， 渍痕，浓烟 v.（使）变脏，（使）模糊
19,soilage,n.弄脏，污秽
20,splotch,n. 污点 vt 使 ... 有斑点
21,spot,n. 污点， 地点， 斑点; 职位 adj. 当场的， 现实买卖的 v. 使沾上污点， 认出， 用灯光照射
22,squalidity,n.污秽，脏污，肮脏
23,squalor,n. 肮脏， 脏污， 不干净
24,stain,n. 污染，污点，著色 v. 沾染，染污，著色
25,taint,n. 污点， 耻辱， 感染 v. 污染， 中毒
