1,adequate,adj. 足够的， 充足的， 适当的， 能胜任的
2,block,n.块； 街区； &lt;英&gt;大楼，大厦； 障碍物，阻碍 vt.阻止； 阻塞； 限制
3,bulk,n. 大部分， 大多数， 大块， 大批， 容积， 体积 vi. 变大， 增加 vt. 膨胀， 出现 adj. 大量的
4,countless,adj. 无数的，数不尽的
5,excess,adj. 过量的，附加的 n. 超过，超越，过度，过量
6,excessive,adj. 过多的，过分的
7,fraught,adj. 充满(不愉快事物）的， 伴随的， 忧伤的，忧虑的
8,further,adj. 更远的 adv. 此外， 进一步地 v. 促进， 推动 vt. 促进
9,innumerable,adj. 无数的， 数不清的
10,majority,n.多数； （获胜的）票数； 成年； 法定年龄
11,multitude,n. 多数， 群众
12,numerous,adj. 为数众多的，许多
13,pervade,v. 弥漫， 遍及， 漫延
14,quantitative,adj. 数量的，定量的
15,quantity,n. 量，数量，大量
16,redundant,adj. 多余的，失业的
17,skimpy,adj. 缺乏的(马虎的)
18,spare,adj. 多余的， 闲置的， 备用的， 简陋的 v. 抽出，饶恕，赦免，节约 n. 剩余， 备用品
19,sporadic,adj. 不定时发生的， 零星的
20,sufficient,adj. 足够的， 充分的
21,suffuse,vt. 遍布...， 弥漫， 充满
22,teem,vi. 充满， 富于 vt. 把…倒空，倾泻
23,volume,n. 体积， 容量， 音量 n. 卷， 册
