1,admirable,adj. 令人钦佩的， 令人赞赏的
2,admire,vt. 钦佩， 羡慕， 赞美
3,adore,v. 崇拜，爱慕，喜爱
4,advocate,vt.提倡； 拥护； 鼓吹； 为…辩护 n.（辩护）律师； 提倡者； 支持者
5,awe,n. 敬畏 vt. 使崇敬
6,celebrate,vt. &amp;vi. 庆祝，祝贺，颂扬
7,celebrated,adj. 著名的，声誉卓著的 动词celebrate的过去式和过去分词
8,classic,n. 古典作品，杰作，第一流艺术家 adj. 第一流的，最优秀的，古典的
9,commend,vt. 推荐，嘉奖，把……托付给 vi. 推荐
10,compliment,n. 称赞，恭维，(复数)致意 vt. 称赞，恭维
11,complimentary,adj. 问候的，称赞的，夸奖的，免费赠送的
12,credit,n. 信用， 荣誉， 贷款， 学分 v. 归功于， 赞颂， 信任
13,deference,n. 顺从，敬重
14,deferential,adj. 恭敬的
15,dignified,adj. 有威严的， 有品格的 v. 使高贵， 使有威严的 vbl. 使威严的， 使高贵的
16,dignify,vt. 使显赫， 使高贵， 使显贵
17,dignity,n. 尊严， 高贵， 端庄
18,embalm,vt. 铭记， 使弥香气，使不朽
19,eminent,adj. 著名的， 卓越的
20,entitle,v. 取名为，给与名称，叫做，使有权利
21,esteem,n. 尊敬 vt. 认为，尊敬
22,exalt,v. 赞扬， 提升，加强
23,exalted,adj. 尊贵的， 高位的， 高尚的 动词exalt的过去式和过去分词
24,excel,vt. 超过， 优于 vi. 胜出 [计算机] 软件名称
25,excellent,adj. 极好的，优秀的
26,exceptional,adj. 例外的，异常的，特别的
27,exemplary,adj. 可仿效的，可做模范的
28,extol,vt. 颂扬， 称赞
29,feat,n. 壮举，功绩，技艺表演
30,glorious,adj. 光荣的， 辉煌的
31,gorgeous,adj. 华丽的， 灿烂的， 好极了
32,grandeur,n.伟大； 宏伟，壮观； 富丽堂皇
33,homage,n. 敬意，效忠
34,illustrious,adj. 著名的， 杰出的
35,immortal,adj. 不朽的 n. 不朽的人物
36,infamous,adj. 无耻的，不名誉的，声名狼藉的
37,laud,n. 颂歌，赞美 v. 称赞 vt. 赞美
38,laudable,adj. 值得称赞的
39,legendary,adj. 传说的， 富有传奇色彩的， 传奇的
40,lofty,adj. 高的， 高超的， 傲慢的
41,matchless,adj. 无敌的， 无比的
42,notable,adj. 显著的， 著名的 n. 名人
43,noted,adj. 著名的，有声望的 动词note的过去式和过去分词形式
44,notorious,adj. 臭名昭著的
45,obscure,adj. 微暗的，难解的，不著名的，[语音学]轻音的  vt. 使...阴暗，隐藏，使...含糊，成为含糊的元音   n. 暗淡，模糊
46,odor,n. 气味，名声，气息
47,outstanding,adj. 突出的， 显著的， 未支付的
48,preeminent,adj. 卓越的，优秀的， 超群的
49,prestige,n. 威望，声望
50,prominent,adj. 杰出的，显著的，突出的
51,renowned,adj. 有名的， 有声誉的
52,respect,n. 尊敬， 敬重; 关系， 方面 vt. 尊敬， 尊重; 关于， 涉及
53,revere,v. 尊敬， 敬畏， 崇敬 里维尔(美国马萨诸塞州城市， 避暑胜地)
54,reverence,n. 敬畏， 尊敬， 尊严 v. 尊敬，敬畏，崇敬 Reverence: 对某些基督教神职人员的尊称
55,supreme,adj. 最高的， 至上的， 极度的
56,tarnish,n. 晦暗， 生锈， 污点 v. 使生锈， 沾污
57,venerate,vt. 尊敬， 崇敬， 崇拜
58,virtue,n. 美德，优点;贞操
