1,apartment,n. 一套公寓房间
2,auditorium,n. 礼堂，观众席
3,canopy,n. 天篷， 遮篷， 苍穹
4,depot,n. 停车场， 车站， 贮藏所
5,dormitory,n. (集体)宿舍
6,dwelling,n. 住处；寓所 v. 居住（dwell的现在分词）
7,forge,n. 熔炉， 铁工厂 vt. 锻造， 想出， 伪造， 构建 vi. 稳步(高速)前进， 制假
8,overpass,n. 天桥， 立交桥  vt. 超越， 胜过， 忽略
9,palace,n. 宫殿 adj. 宫殿的，殿堂级的
10,refuge,n. 避难(处)， 庇护(所) v. 庇护， 避难(所)
11,shelter,n. 庇护所，避难所，庇护 vt. &amp;vi. 庇护，保护，隐匿
12,stall,n. 货摊， 托辞， (教堂内）唱诗班和牧师的座位， 熄火 vt. 使...陷于泥中， 使停止 vi. 陷入泥中， 发生障碍
13,temple,n. 庙宇，寺院 n.太阳穴
14,tower,n. 塔，高楼，堡垒 vi. 屹立，超越
15,vault,n. 窖，地下室，撑竿跳 vt. 做成圆拱形，撑竿跳跃 vi. 跳跃
16,viaduct,n. 高架桥
17,villa,n. 别墅
18,warehouse,n. 仓库 vt. 存入仓库
