1,cinematograph,n.电影放映机，电影摄影机
2,comedy,n. 喜剧，滑稽， 幽默事件
3,dialogue,n. 对话 vt.&amp; vi. 对话
4,documentary,adj. 文献的 n. 纪录片
5,film,n. 电影， 胶卷， 薄膜 vt. 把...拍成电影， 给...覆上一薄层 vi. 从事电影拍摄
6,footage,n. 以尺计算长度， 尺数， 影片的镜头
7,montage,n. 蒙太奇，混成画，拼集的照片，剪辑 vt. 运用或结合用蒙太奇手法的
8,musical,adj. 音乐的 n. 音乐片
9,newsreel,n. 新闻短片
10,original,adj. 最初的， 原始的; 有独创性的， 原版的 n. 原件， 原稿; 有独创性的人， 怪人
11,premiere,v. 初次公演， 初演主角
12,scriptwriter,n. 编剧， 剧作家
13,stagehand,n. 舞台管理
14,subtile,adj. 隐约的，微妙的，敏锐的，狡猾的
15,thriller,n. 惊险小说
16,title,n. 头衔，名称，标题，所有权，资格，冠军 vt. 赋予称号，加标题于 adj. 标题的
17,tragedy,n. 悲剧， 惨事， 灾难
18,trailer,n. 拖车；[电视] 预告片；追踪者  vi. 乘拖车式活动房屋旅行  vt. 用拖车载运
