1,accident,n. 事故，意外的事
2,adversity,n. 不幸， 灾难
3,afflict,vt. 使苦恼，折磨
4,ailment,n. 小病， 疾病
5,anguish,n. 苦闷， 痛苦 v. 使...极苦闷， 使...极痛苦
6,avalanche,n. 雪崩
7,calamity,n. 灾难， 不幸事件
8,carnage,n. 大屠杀， 残杀
9,casualty,n. 变故，伤亡者，伤亡人数
10,cataclysm,n. 大洪水， 地震， (社会政治的)大变动
11,catastrophe,n. 大灾难，大祸，彻底失败
12,debris,n. 碎片， 残骸
13,deluge,n. 大洪水， 暴雨，泛滥 v.泛滥，大量涌入
14,devastate,vt. 毁坏，使震惊
15,disaster,n. 灾难
16,disastrous,adj. 灾难性的
17,famine,n. 饥荒， 极度缺乏
18,holocaust,n. 大屠杀，浩劫
19,massacre,n. 大屠杀 v. 大屠杀
20,misfortune,n. 不幸， 灾祸
21,mishap,n. 不幸之事， 灾祸， 恶运
22,slaughter,n. 残杀， 屠杀， 大量杀戮 v. 残杀， 屠杀
23,torment,n. 苦痛， 拷问 v. 使苦恼， 拷问
24,unfortunate,adj. 不幸的， 令人遗憾的，不成功的 n.不幸的人
25,upheaval,n. 举起， 隆起， 大变动
26,victim,n. 受害者，牺牲
27,wreckage,n. 失事， 破坏， 破减， 残骸
