1,apt,adj. 恰当的；有…倾向的；灵敏的
2,auspice,n. 预兆， 吉兆， 赞助， 主办
3,estimable,adj. 可估计的，值得尊敬的 adj.
4,fateful,adj. 宿命的， 重大的， 决定性的
5,forecast,n. 预测，预报 vt. &amp;vi. 预测
6,foresee,v. 预见， 预知
7,foresight,n. 远见， 深谋远虑
8,foretell,vt. 预言， 预告， 预示
9,imminent,adj. 逼近的， 即将发生的
10,impending,adj. 逼迫的， 迫切的， 即将发生的 动词impend的现在分词
11,portend,v. 成为...的前兆，预知，给与...的警告
12,precursor,n. 先驱者，前导，先进者
13,prediction,n. 预言， 预报
14,prefigure,v. 预示，预表，预想
15,presage,n. 预感， 预兆， 预知 v. 成为...的前兆， 预示， 预言
16,prognosticate,vt. 预知， 预言， 预测
17,promising,adj. 有希望的，有前途的
18,prophesy,v. 预言， 预报
19,prospect,n. 景色， 希望， 展望 v. 探勘， 寻找
20,prospective,adj. 未来的， 预期的
21,provident,adj. 有先见之明的，有远虑的，节俭的
22,surmise,n. 推测 vt. 推测， 臆测
23,tendency,n. 趋势，倾向
