1,barley,n. 大麦
2,beet,n. 甜菜
3,beverage,n. 饮料
4,bland,adj. 乏味的；温和的；冷漠的  vt. 使…变得淡而无味；除掉…的特性  vi. 变得平淡无奇；丧失特性
5,broccoli,n. 绿菜花，花椰菜
6,butter,n. 黄油，阿谀奉承 vt. 涂黄油
7,cabbage,n. 卷心菜，洋白菜
8,carrot,n. 胡萝卜，报酬，好处
9,celery,n. 芹菜
10,cereal,adj. 谷类(的)，谷物(的) n. 谷类食物
11,chop,n. 厚肉片，排骨，砍 vt. 剁碎，砍(价)，切 vi. 砍
12,condiment,n. 调味品
13,corn,n. 谷物，谷粒，陈词滥调，鸡眼 vt. 使成颗粒状，用盐水腌制，用谷物喂 vi. 变成颗粒
14,cucumber,n. 黄瓜
15,cuisine,n. 烹饪，佳肴
16,dessert,n. 甜食
17,diet,n. 日常饮食，规定饮食 vt. 照规定饮食 adj. 低卡路里的
18,edible,n. 食品， 食物 adj. 可食用的
19,grain,n. 谷物， 谷类， 颗粒， 细粒， 纹理 vt. 用谷物喂养， 形成颗粒
20,imbibe,v. 饮， 吸取， 吸入
21,leek,n. 韭葱
22,lettuce,n. [园艺] 生菜；莴苣；（美）纸币
23,millet,n. 小米，黍，稷
24,mustard,n. 芥末，芥菜，强烈的兴趣
25,nibble,n. 轻咬， 啃 v. 一点点地咬， 慢慢啃，吹毛求疵
26,nutriment,n. 营养品，促进生长的东西
27,onion,n. 洋葱
28,pea,n. 豌豆
29,peanut,n. 花生
30,pepper,n. 胡椒粉 vt. 加胡椒粉于
31,potato,n. 马铃薯， 土豆
32,pumpkin,n. 南瓜
33,radish,n. 萝卜
34,rice,n. 稻，饭，米
35,rye,n. 黑麦， 裸麦 n. 吉卜赛男人
36,scoop,n. 铲子， 舀取， 独家新闻， 一勺， 穴 vt. 汲取， 舀取， 抢先报道， 挖空
37,seasoning,n. 风干(时效，调质，贮放，涂光，不稳定性) n. 调料
38,sesame,n. 芝麻
39,soybean,n. 大豆，黄豆
40,spinach,n. 菠菜
41,tomato,n. 西红柿
42,wheat,n. 小麦， 小麦色
